domain|cc|testID
diplomat.so|SO|6ac63cde-09fc-428b-8d68-acdafb29b307
diplomat.so|SO|09595ad3-f289-43a9-8389-18a38969d5a9
diplomat.so|SO|481886e1-93ec-4569-ace9-196267a4ba9c
diplomat.so|SO|acbc7655-6424-4bff-bcdc-4622c7d58716
diplomat.so|SO|bac03e8e-dd48-402b-a63c-ed872db1a0ce
diplomat.so|SO|34da7cf3-fe6d-465c-aaac-220f3e8592e9
www.ghananewsagency.org|GH|c14ae816-b7da-4a68-9743-64168af3b749
graphic.com.gh|GH|1ee2811c-3084-49c8-9fa4-43db34def14e
graphic.com.gh|GH|291aec55-aa44-4c67-a44e-4ba4c13fd87d
www.newsghana.com.gh|GH|d49170b9-cc3a-41c6-9fc4-8ab91897daf1
www.modernghana.com|GH|3c31d23e-3f30-4da3-b064-14d86d4d44db
www.ghanasoccernet.com|GH|FAILED
www.ghananewsagency.org|GH|2f4aa496-3b56-45d8-b679-23cb60bf09f9
graphic.com.gh|GH|14f9aaf8-5218-48ed-981c-8743e58e0bc9
graphic.com.gh|GH|8f71e423-3299-4d59-baf9-703b24b4b8c7
www.ghananewsagency.org|GH|cb7bca35-fabc-4d46-928f-def9585e7106
www.modernghana.com|GH|63c807c9-d331-4072-8336-24ab959d3a61
wn.com|GH|f70f2353-8fff-40cc-903f-9a3ac8b311ac
wn.com|GH|15f2abdb-dd3f-482a-9ac5-0103afabee09
www.ghanabusinessnews.com|GH|ccf1ea3e-afce-42b3-bbd9-488e9cb68502
graphic.com.gh|GH|a9fc471d-bd5d-4824-9bee-37e2ccda3b62
liberal.sapo.cv|CV|f64976df-d7d7-48c6-baab-72c776529594
lnt.ma|MA|924ff4a4-cac5-4238-99c1-e93c4d103533
www.oujdacity.net|MA|9c0381c9-7619-48b1-b7e1-a521c7e77a50
www.oujdacity.net|MA|3e564a13-7a56-4d60-8818-b59d1fff71eb
www.journaldusport.ma|MA|098de70a-9ddb-4dd8-a0c6-e1ea6250ac19
moroccomedia.com|MA|79594e11-749a-4c3b-927f-96c50188bcf3
www.journaldusport.ma|MA|d6557da1-1802-480d-8b5a-c4dd92e743f8
www.journaldusport.ma|MA|baac8b44-f435-415f-a8e6-b0c71857ee4c
moroccomedia.com|MA|2364f7a0-6411-4d37-bcec-bafb29d285fd
www.oujdacity.net|MA|7bfe6c25-1fb0-4374-a516-a242255244e6
lnt.ma|MA|945cadf8-db84-4a5d-9239-2f016c31041c
moroccomedia.com|MA|a722642c-d5e1-4aaa-bd7c-8e449c6fcab6
lnt.ma|MA|8018641d-2b3d-468e-b7f6-f2408dfd6106
moroccomedia.com|MA|dc0be45c-fc8d-4b37-869d-89fdc8f7915d
www.oujdacity.net|MA|063812b8-66b6-4f07-8a7b-57b40c74dc92
moroccomedia.com|MA|6d4b2645-7d0a-49a5-afa7-2dc8b617a12c
lusakastar.com|ZM|32ea7bde-828c-443a-b801-138f50f7c6cf
zambiabusinesstimes.com|ZM|1e46c03b-c04e-4b04-8f68-807b3e601590
zambiabusinesstimes.com|ZM|2c1d887e-eed7-49f6-ba2c-9ecf93abf38f
www.zambiawatchdog.com|ZM|ad125788-4ac4-4fe7-8410-d1f0338eb1ed
www.zambiawatchdog.com|ZM|65ff0248-c8c2-479a-a5c3-5d182355dcdb
lusakastar.com|ZM|5e42dc07-c689-4bae-8362-074b04850636
www.zambianobserver.com|ZM|a820ae80-db1d-4a73-873b-47d30c39f507
www.zambianobserver.com|ZM|9307c47b-66b3-4df6-87a3-110d35327e08
www.mwebantu.news|ZM|9cc54f1f-78fc-4a35-91b2-07b8b7d471ca
www.zambiawatchdog.com|ZM|37a43404-0bf8-470a-ad17-92161e712375
www.lusakatimes.com|ZM|14a42a56-db50-4b3f-951b-bc0efdcb604f
zambiabusinesstimes.com|ZM|00af28a3-308f-425a-9974-fd530da98b4a
www.zambianobserver.com|ZM|e5a4bb55-b45c-4136-a77b-6c9c2a2d5cb2
www.lusakatimes.com|ZM|97dfd5ca-c0b3-458f-97be-590a426751d0
www.zambiawatchdog.com|ZM|76b5e536-e0e8-49c1-9b55-76e39c165fd6
malawi24.com|MW|FAILED
www.nyasatimes.com|MW|fddb8d9c-9cb9-4f02-94d0-8c3eb37492ea
www.nyasatimes.com|MW|31d9c353-5cb5-416c-a0a2-0c24934fdecf
www.nyasatimes.com|MW|548e4aff-1980-42bd-9742-58652ba77bc0
www.nyasatimes.com|MW|a4431397-f5f9-413c-add3-43a31077dce2
malawi24.com|MW|92d9134b-896b-4521-9e20-8ab12f41d5d0
www.nyasatimes.com|MW|4370f135-5c3a-4e7f-8fc7-bb8811f55ad8
malawi24.com|MW|949d431d-6764-4f31-916a-435c9d7d03b5
www.nyasatimes.com|MW|6558eed9-ade5-40c6-8fff-c12640e2616b
malawi24.com|MW|6fa76080-9d70-4a5b-888f-81c9dee2ec2f
malawi24.com|MW|FAILED
www.nyasatimes.com|MW|c567d091-3b93-49c5-88c7-a37b5bd6941b
www.nyasatimes.com|MW|fe13a73f-950a-49db-866a-bd9de9f8db8e
malawi24.com|MW|FAILED
malawi24.com|MW|3f34973e-fab0-4158-afbd-74bce4f159ef
www.maliweb.net|ML|22f8be1f-6ac6-4943-947a-928fcafaa352
maliactu.net|ML|62fae26a-678e-4837-a5c0-2cb38a834cec
www.maliweb.net|ML|61615b0b-998a-4c8e-8744-8a3f424a0aa3
www.maliweb.net|ML|c4fed44f-57be-473e-ba78-7ccb28bf850b
maliactu.net|ML|8391bc1f-926a-4e65-9170-2628b82341ed
maliactu.net|ML|996cfd2e-7301-4104-998a-621a0a6d46c0
www.maliweb.net|ML|dd12ec8c-a083-42ea-816d-988cba265d23
www.maliweb.net|ML|1a425f26-db70-4614-8715-5d9304ea9c3d
www.maliweb.net|ML|fbc608c4-453e-4e50-a98f-64031d7e7da2
maliactu.net|ML|69f04629-d8b0-4e5d-b097-b061dbdc2c77
www.maliweb.net|ML|dd9ed9d3-3244-4824-bf05-bc9a1b26b795
www.maliweb.net|ML|23f45151-6314-423e-b49e-f5f8b8f0bf80
maliactu.net|ML|2b272454-16b9-4232-aa6d-bd84a484b20a
maliactu.net|ML|015b65a8-f2d0-4322-a06c-7a4231e17bb0
maliactu.net|ML|e474f463-d55c-4822-b079-0a792922c740
mayotte.la1ere.fr|YT|0c19c9c8-3a11-4682-82d4-56f22ac126dc
mayotte.la1ere.fr|YT|3304b3ee-3840-45c7-8615-6120fec7962c
mayotte.la1ere.fr|YT|239ae881-7f0f-49f9-934a-6523dc45216d
mayotte.la1ere.fr|YT|cb8ad49d-fcb4-477d-bf49-e0f008f738c7
mayotte.la1ere.fr|YT|baf296ed-9dc9-477a-a054-bcc6308aa6a0
mayotte.la1ere.fr|YT|295a18f0-2c54-49db-9aa7-8b7d3f4b6f79
mayotte.la1ere.fr|YT|5417f6ae-7546-4115-ba49-d87cec9bef72
www.monitor.co.ug|UG|8b5d53a2-d176-4379-9c6b-f0be8d137251
www.chimpreports.com|UG|6a3b5faa-8746-4ab5-80ed-5048e6c475ed
www.ugandanews.net|UG|5377a9cf-f1f6-4cdb-9e00-f16f54ed89be
www.chimpreports.com|UG|FAILED
www.kawowo.com|UG|d637c5f0-ce1b-4e22-a8be-00820e2ebfb1
nbs.ug|UG|4f99f5ae-5d01-4eb7-adbb-3e48916517d4
www.chimpreports.com|UG|97ab162c-cdd6-4bac-b3ba-ad7c8c14c2cf
nbs.ug|UG|8bb1d644-d7c1-4150-94da-6c123d40af2c
www.chimpreports.com|UG|de1ff34c-2934-46a7-9977-8480f306dba1
newslexpoint.com|UG|9d49715a-5345-44a9-8631-8ebc2b4e2c9f
theinvestigatornews.com|UG|90cf6991-46bc-4937-ace2-78d549c1b7fd
www.monitor.co.ug|UG|beb297ca-52e6-42c4-8365-72a663c9dc18
newslexpoint.com|UG|fdb47bc2-7533-4aa9-a9ee-0923c9c626e9
newslexpoint.com|UG|227b375d-e76b-4d84-b315-f1bc60daf437
www.chimpreports.com|UG|af8ea54e-a731-4c45-8a4c-f85eff66f0b8
reunion.la1ere.fr|RE|531a3f10-1066-4ad2-81f2-be13d7b6f451
reunion.la1ere.fr|RE|b2c022fd-cc4e-42f3-847a-a72f3e8822e0
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
www.temoignages.re|RE|FAILED
slpublicopinion.wordpress.com|SL|c12108dd-f8a4-47db-ad89-7e78c813981d
slpublicopinion.wordpress.com|SL|33a73052-ef98-4674-802e-ac83a01f071e
slpublicopinion.wordpress.com|SL|8f63719f-e7ab-4792-b17c-1f6e6ec4be2b
slpublicopinion.wordpress.com|SL|51293c83-cdce-44b5-8ac7-9659ee58d967
southsudantribune.org|SS|de26fd3c-bb4f-4191-bdc3-ffa701a71c5e
southsudantribune.org|SS|f074b8a8-591a-4b14-a5f3-a8cc5f4357ea
southsudantribune.org|SS|aa23e722-cb5f-4e38-bd82-008a09856093
southsudantribune.org|SS|963de04a-9a8e-4217-be27-95243c8930e8
southsudantribune.org|SS|f11b275a-eda8-4709-88e4-26bea652d43d
www.tsa-algerie.com|DZ|e08fd65c-20c6-4616-b69f-5c3eb8b6e7b5
www.reflexiondz.net|DZ|ffb52d68-e374-44c2-874c-b51e31bd203d
sport.ennaharonline.com|DZ|FAILED
www.reflexiondz.net|DZ|1736afc9-5a48-4e49-8d97-a76196f17b3c
www.tsa-algerie.com|DZ|059b1356-ce6c-42df-90df-06c5d21f27d8
www.ennaharonline.com|DZ|374ce06f-96c1-4d81-a374-eb5e03a1b514
www.reflexiondz.net|DZ|4a13aca4-7a5b-4dc0-ac76-29ab07e580b2
www.ennaharonline.com|DZ|2a6afd0c-8d13-44f3-8fa4-349e17407de5
sport.ennaharonline.com|DZ|FAILED
www.tsa-algerie.com|DZ|3c51111c-824a-4c84-80e8-769590665d4c
www.reflexiondz.net|DZ|f02ac914-a123-41ae-8d65-89ef5dee41aa
www.reflexiondz.net|DZ|59e539f0-435b-4765-9c29-c30bf597e4e3
www.algerie-focus.com|DZ|ede8784f-28c2-44e0-93c5-a733f93da4f2
www.tsa-algerie.com|DZ|8d0d8682-9dad-470f-b039-fc94a1afeb63
sport.ennaharonline.com|DZ|FAILED
theliberiantimes.weebly.com|LR|6293b4b5-1ca1-4e58-a378-123cc600c58f
theliberiantimes.weebly.com|LR|44e6c5c3-f780-47e6-a20f-5b03b9535536
theliberiantimes.weebly.com|LR|05fcc946-2268-4c32-9e79-5ef924dfa8c8
theliberiantimes.weebly.com|LR|a5af85fe-220b-49c7-a94c-9a55d7431c91
www.theperspective.org|LR|eaf49f03-4aab-42a5-8507-53a0015b227d
www.frontpageafricaonline.com|LR|63dfa964-7d86-4eb8-91ba-5c27a5b4e4ee
www.frontpageafricaonline.com|LR|a245ae9e-5837-44e7-8756-ab73acaa3db9
