domain|cc|geoloc_cc|url|ori_amp_url|amp_viewer_url|amp_cdn_url
thenationonlineng.net|NG|US|http://thenationonlineng.net/nigeria-lagging-behind-on-reports-on-labour-standards-says-ilo/|http://thenationonlineng.net/nigeria-lagging-behind-on-reports-on-labour-standards-says-ilo/amp/|https://www.google.com/amp/s/thenationonlineng.net/nigeria-lagging-behind-on-reports-on-labour-standards-says-ilo/amp/|https://thenationonlineng-net.cdn.ampproject.org/c/s/thenationonlineng.net/nigeria-lagging-behind-on-reports-on-labour-standards-says-ilo/amp/
thenationonlineng.net|NG|US|http://thenationonlineng.net/okada-ban-over-1000-thieves-to-lose-jobs-in-anambra-says-commissioner/|http://thenationonlineng.net/okada-ban-over-1000-thieves-to-lose-jobs-in-anambra-says-commissioner/amp/|https://www.google.com/amp/s/thenationonlineng.net/okada-ban-over-1000-thieves-to-lose-jobs-in-anambra-says-commissioner/amp/|https://thenationonlineng-net.cdn.ampproject.org/c/s/thenationonlineng.net/okada-ban-over-1000-thieves-to-lose-jobs-in-anambra-says-commissioner/amp/
therainbow.com.ng|NG|ZA|http://therainbow.com.ng/central-bank-of-iraq-releases-50k-iraqi-dinar-banknotes/|http://therainbow.com.ng/central-bank-of-iraq-releases-50k-iraqi-dinar-banknotes/amp/|https://www.google.com/amp/s/therainbow.com.ng/central-bank-of-iraq-releases-50k-iraqi-dinar-banknotes/amp/|https://therainbow-com-ng.cdn.ampproject.org/c/s/therainbow.com.ng/central-bank-of-iraq-releases-50k-iraqi-dinar-banknotes/amp/
therainbow.com.ng|NG|ZA|http://therainbow.com.ng/central-bank-of-iraq-releases-50k-iraqi-dinar-banknotes/#respond|http://therainbow.com.ng/central-bank-of-iraq-releases-50k-iraqi-dinar-banknotes/amp/|https://www.google.com/amp/s/therainbow.com.ng/central-bank-of-iraq-releases-50k-iraqi-dinar-banknotes/amp/|https://therainbow-com-ng.cdn.ampproject.org/c/s/therainbow.com.ng/central-bank-of-iraq-releases-50k-iraqi-dinar-banknotes/amp/
therainbow.com.ng|NG|ZA|http://therainbow.com.ng/hiv-scientists-at-michael-okpara-university-make-breakthrough/|http://therainbow.com.ng/hiv-scientists-at-michael-okpara-university-make-breakthrough/amp/|https://www.google.com/amp/s/therainbow.com.ng/hiv-scientists-at-michael-okpara-university-make-breakthrough/amp/|https://therainbow-com-ng.cdn.ampproject.org/c/s/therainbow.com.ng/hiv-scientists-at-michael-okpara-university-make-breakthrough/amp/
therainbow.com.ng|NG|ZA|http://therainbow.com.ng/hiv-scientists-at-michael-okpara-university-make-breakthrough/#respond|http://therainbow.com.ng/hiv-scientists-at-michael-okpara-university-make-breakthrough/amp/|https://www.google.com/amp/s/therainbow.com.ng/hiv-scientists-at-michael-okpara-university-make-breakthrough/amp/|https://therainbow-com-ng.cdn.ampproject.org/c/s/therainbow.com.ng/hiv-scientists-at-michael-okpara-university-make-breakthrough/amp/
therainbow.com.ng|NG|ZA|http://therainbow.com.ng/boko-haram-kidnapped-the-230-school-girls-as-wives-for-its-insurgents/|http://therainbow.com.ng/boko-haram-kidnapped-the-230-school-girls-as-wives-for-its-insurgents/amp/|https://www.google.com/amp/s/therainbow.com.ng/boko-haram-kidnapped-the-230-school-girls-as-wives-for-its-insurgents/amp/|https://therainbow-com-ng.cdn.ampproject.org/c/s/therainbow.com.ng/boko-haram-kidnapped-the-230-school-girls-as-wives-for-its-insurgents/amp/
therainbow.com.ng|NG|ZA|http://therainbow.com.ng/boko-haram-kidnapped-the-230-school-girls-as-wives-for-its-insurgents/#respond|http://therainbow.com.ng/boko-haram-kidnapped-the-230-school-girls-as-wives-for-its-insurgents/amp/|https://www.google.com/amp/s/therainbow.com.ng/boko-haram-kidnapped-the-230-school-girls-as-wives-for-its-insurgents/amp/|https://therainbow-com-ng.cdn.ampproject.org/c/s/therainbow.com.ng/boko-haram-kidnapped-the-230-school-girls-as-wives-for-its-insurgents/amp/
wn.com|GH|GB|https://metro.co.uk/2018/06/25/janet-jackson-delivers-an-emotional-tribute-to-her-dying-father-7658954/|https://metro.co.uk/2018/06/25/janet-jackson-delivers-an-emotional-tribute-to-her-dying-father-7658954/amp/|https://www.google.com/amp/s/metro.co.uk/2018/06/25/janet-jackson-delivers-an-emotional-tribute-to-her-dying-father-7658954/amp/|https://wn-com.cdn.ampproject.org/c/s/metro.co.uk/2018/06/25/janet-jackson-delivers-an-emotional-tribute-to-her-dying-father-7658954/amp/
wn.com|GH|GB|https://www.independent.co.uk/arts-entertainment/music/news/vinnie-paul-death-pantera-drummer-dies-cause-co-founder-latest-age-a8412976.html|https://www.independent.co.uk/arts-entertainment/music/news/vinnie-paul-death-pantera-drummer-dies-cause-co-founder-latest-age-a8412976.html?amp|https://www.google.com/amp/s/www.independent.co.uk/arts-entertainment/music/news/vinnie-paul-death-pantera-drummer-dies-cause-co-founder-latest-age-a8412976.html?amp|https://wn-com.cdn.ampproject.org/c/s/www.independent.co.uk/arts-entertainment/music/news/vinnie-paul-death-pantera-drummer-dies-cause-co-founder-latest-age-a8412976.html?amp
wn.com|GH|GB|https://www.belfasttelegraph.co.uk/entertainment/film-tv/news/i-feel-like-i-won-a-contest-pete-davidson-confirms-ariana-grande-engagement-37033810.html|https://amp.belfasttelegraph.co.uk/entertainment/film-tv/news/i-feel-like-i-won-a-contest-pete-davidson-confirms-ariana-grande-engagement-37033810.html|https://www.google.com/amp/s/amp.belfasttelegraph.co.uk/entertainment/film-tv/news/i-feel-like-i-won-a-contest-pete-davidson-confirms-ariana-grande-engagement-37033810.html|https://wn-com.cdn.ampproject.org/c/s/amp.belfasttelegraph.co.uk/entertainment/film-tv/news/i-feel-like-i-won-a-contest-pete-davidson-confirms-ariana-grande-engagement-37033810.html
wn.com|GH|GB|https://www.rte.ie/entertainment/2018/0620/971824-declan-orourke-reveals-why-he-wont-perform-for-pope/|https://www.rte.ie/amp/971824/ |https://www.google.com/amp/s/www.rte.ie/amp/971824/ |https://wn-com.cdn.ampproject.org/c/s/www.rte.ie/amp/971824/ 
wn.com|GH|GB|https://www.gadgetsnow.com/mobiles/apple-can-officially-claim-that-iphone-x-clicks-studio-quality-portraits/articleshow/64786037.cms|https://m.gadgetsnow.com/mobiles/apple-can-officially-claim-that-iphone-x-clicks-studio-quality-portraits/amp_articleshow/64786037.cms|https://www.google.com/amp/s/m.gadgetsnow.com/mobiles/apple-can-officially-claim-that-iphone-x-clicks-studio-quality-portraits/amp_articleshow/64786037.cms|https://wn-com.cdn.ampproject.org/c/s/m.gadgetsnow.com/mobiles/apple-can-officially-claim-that-iphone-x-clicks-studio-quality-portraits/amp_articleshow/64786037.cms
wn.com|GH|GB|http://www.bgr.in/news/google-launches-new-online-ad-tool-for-small-businesses/|http://www.bgr.in/news/google-launches-new-online-ad-tool-for-small-businesses/amp/|https://www.google.com/amp/s/www.bgr.in/news/google-launches-new-online-ad-tool-for-small-businesses/amp/|https://wn-com.cdn.ampproject.org/c/s/www.bgr.in/news/google-launches-new-online-ad-tool-for-small-businesses/amp/
wn.com|GH|GB|https://www.theguardian.com/technology/2018/jun/28/google-home-and-chromecast-outage-hits-millions-of-users-worldwide|https://amp.theguardian.com/technology/2018/jun/28/google-home-and-chromecast-outage-hits-millions-of-users-worldwide|https://www.google.com/amp/s/amp.theguardian.com/technology/2018/jun/28/google-home-and-chromecast-outage-hits-millions-of-users-worldwide|https://wn-com.cdn.ampproject.org/c/s/amp.theguardian.com/technology/2018/jun/28/google-home-and-chromecast-outage-hits-millions-of-users-worldwide
wn.com|GH|GB|http://www.bgr.in/news/xiaomi-mi-global-launch-event-june-28-launch-gift-from-the-future-video-teaser-mi-home-weibo/|http://www.bgr.in/news/xiaomi-mi-global-launch-event-june-28-launch-gift-from-the-future-video-teaser-mi-home-weibo/amp/|https://www.google.com/amp/s/www.bgr.in/news/xiaomi-mi-global-launch-event-june-28-launch-gift-from-the-future-video-teaser-mi-home-weibo/amp/|https://wn-com.cdn.ampproject.org/c/s/www.bgr.in/news/xiaomi-mi-global-launch-event-june-28-launch-gift-from-the-future-video-teaser-mi-home-weibo/amp/
wn.com|GH|GB|http://www.deccanchronicle.com/technology/in-other-news/260618/video-makers-want-youtube-to-change-subscription-tool.html|https://www.deccanchronicle.com/amp/technology/in-other-news/260618/video-makers-want-youtube-to-change-subscription-tool.html|https://www.google.com/amp/s/www.deccanchronicle.com/amp/technology/in-other-news/260618/video-makers-want-youtube-to-change-subscription-tool.html|https://wn-com.cdn.ampproject.org/c/s/www.deccanchronicle.com/amp/technology/in-other-news/260618/video-makers-want-youtube-to-change-subscription-tool.html
wn.com|GH|GB|https://timesofindia.indiatimes.com/home/science/facebook-site-for-old-people-teens-switch-to-snapchat-and-instagram/articleshow/64727150.cms|https://m.timesofindia.com/home/science/facebook-site-for-old-people-teens-switch-to-snapchat-and-instagram/amp_articleshow/64727150.cms|https://www.google.com/amp/s/m.timesofindia.com/home/science/facebook-site-for-old-people-teens-switch-to-snapchat-and-instagram/amp_articleshow/64727150.cms|https://wn-com.cdn.ampproject.org/c/s/m.timesofindia.com/home/science/facebook-site-for-old-people-teens-switch-to-snapchat-and-instagram/amp_articleshow/64727150.cms
worldstagegroup.com|NG|US|https://www.worldstagegroup.com/cbn-directs-banks-to-resolve-disputes-from-unstructured-supplementary-service-data-channel-in-three-days/|https://www.worldstagegroup.com/cbn-directs-banks-to-resolve-disputes-from-unstructured-supplementary-service-data-channel-in-three-days/amp/|https://www.google.com/amp/s/www.worldstagegroup.com/cbn-directs-banks-to-resolve-disputes-from-unstructured-supplementary-service-data-channel-in-three-days/amp/|https://worldstagegroup-com.cdn.ampproject.org/c/s/www.worldstagegroup.com/cbn-directs-banks-to-resolve-disputes-from-unstructured-supplementary-service-data-channel-in-three-days/amp/
worldstagegroup.com|NG|US|https://www.worldstagegroup.com/cbn-directs-banks-to-resolve-disputes-from-unstructured-supplementary-service-data-channel-in-three-days/#respond|https://www.worldstagegroup.com/cbn-directs-banks-to-resolve-disputes-from-unstructured-supplementary-service-data-channel-in-three-days/amp/|https://www.google.com/amp/s/www.worldstagegroup.com/cbn-directs-banks-to-resolve-disputes-from-unstructured-supplementary-service-data-channel-in-three-days/amp/|https://worldstagegroup-com.cdn.ampproject.org/c/s/www.worldstagegroup.com/cbn-directs-banks-to-resolve-disputes-from-unstructured-supplementary-service-data-channel-in-three-days/amp/
worldstagegroup.com|NG|US|https://www.worldstagegroup.com/envoy-confirms-switzerland-as-first-to-repatriate-nigerias-looted-funds/|https://www.worldstagegroup.com/envoy-confirms-switzerland-as-first-to-repatriate-nigerias-looted-funds/amp/|https://www.google.com/amp/s/www.worldstagegroup.com/envoy-confirms-switzerland-as-first-to-repatriate-nigerias-looted-funds/amp/|https://worldstagegroup-com.cdn.ampproject.org/c/s/www.worldstagegroup.com/envoy-confirms-switzerland-as-first-to-repatriate-nigerias-looted-funds/amp/
