domain|cc|testID
www.voazimbabwe.com|ZW|8d648d81-4533-4952-a879-966afb72937f
www.southerneye.co.zw|ZW|e6145404-f51b-4ba9-8ea2-9415db7a3a5d
www.voandebele.com|ZW|bd1fd68c-1099-412a-a6d5-121b7c039965
www.bizday.co.zw|ZW|c007ee37-d6ab-46a3-b495-fc8214363c79
www.zimbabwenews.net|ZW|b1a7d16e-ff59-4757-b5cc-aa87bb16e903
www.techzim.co.zw|ZW|339e5bb4-fe54-4517-a96b-d8827e853e6c
www.southerneye.co.zw|ZW|93ca4add-a304-4307-b7e5-1ba0fde4229d
www.southerneye.co.zw|ZW|4a8bd245-fb9c-4eba-82d9-2812cba19cab
www.herald.co.zw|ZW|38612f16-f053-4ba7-be57-24c614336258
www.southerneye.co.zw|ZW|7dc84bc3-1579-41b4-b276-1be6c4816218
www.zimbabwesituation.com|ZW|85b29c9f-622b-4a2b-a194-af4133f4d9b3
www.bizday.co.zw|ZW|9dc5b7a1-d753-4e32-be49-8ced6e2db579
www.technomag.co.zw|ZW|bf3ff832-bbd4-4941-bf3b-add2c20d4cfe
www.herald.co.zw|ZW|c1756a4b-543a-4a53-bee0-3bf2a27cebef
www.herald.co.zw|ZW|4ce6207e-0919-4138-8d83-a4e0a7a19d84
randburgsun.co.za|ZA|34aaaaff-6521-4878-bc97-699a0498f472
germistoncitynews.co.za|ZA|794a5df6-bd0c-4958-bdfe-2e80af7d8f78
www.heraldlive.co.za|ZA|6fa61fec-bc86-4227-8759-ca552bd7e3fd
highwaymail.co.za|ZA|9d6dd6b4-2755-406c-8fdc-97f2f94e492d
randburgsun.co.za|ZA|e88ff9b5-d195-4dcd-9ae1-ca5dde3a60d0
lowvelder.co.za|ZA|1f1ff8e6-3977-4c8c-a360-367daf118fd8
ladysmithgazette.co.za|ZA|b8a93db0-74d7-4285-b33f-9c1dac7377a0
www.dailymaverick.co.za|ZA|870664bc-dd59-4232-a7f4-14c41ffbe628
northcliffmelvilletimes.co.za|ZA|3dc00b1e-fb34-40a8-bf6c-db1027233dfe
kemptonexpress.co.za|ZA|7f1f80b6-f329-4cfd-93ab-73f6184717f7
www.kwevoel.co.za|ZA|1e2c8100-e0c4-48dd-93dd-9af6ebd42e5b
kemptonexpress.co.za|ZA|a2bd1f12-35cc-448d-8125-6b8d73ce7933
northeasterntribune.co.za|ZA|97cddc2a-7b48-4998-babc-377fe3a5e540
southcoastsun.co.za|ZA|df4bfcea-4342-4549-b5a1-9ea5c400271d
risingsunchatsworth.co.za|ZA|cbe3a0c4-cc2b-40d4-b09f-380844e0bd25
guineenews.org|GQ|ab1e785b-aafb-47c4-8a38-4a6c4462fdad
guineenews.org|GQ|1e748986-2cbe-4a17-9445-3e9b19e86977
aminata.com|GQ|f767c55f-d13c-458f-adcb-c5a3834193dc
guineenews.org|GQ|726e601b-9b32-47fa-ad9f-5994075fea8b
guineenews.org|GQ|6817d574-6808-49b4-90e8-05134b6934dd
www.guinee7.com|GQ|284814d1-f134-4f4b-b63c-840d3d79ee60
aminata.com|GQ|c42d6033-6d3a-445b-ba01-f5609f761ea2
aminata.com|GQ|c03c6719-9088-4a90-8f24-54dbecb9c22a
guineenews.org|GQ|d82931e8-9cea-4a1c-b796-00413a4d57f7
aminata.com|GQ|0e57f2cf-ffe4-4849-a8e1-b1edc5b99b57
aminata.com|GQ|dbd07942-459e-4508-9ffa-d46cf5292d5d
www.guinee7.com|GQ|8e751bbe-343a-46a4-b03e-40a40aebee55
guineenews.org|GQ|d947ea6a-0094-497f-8cef-971f33893ee4
guineenews.org|GQ|60b33b3c-c85c-4273-a3c4-07e44f78f0ff
aminata.com|GQ|007e3a2f-745f-4aaa-aea5-785f581d9018
www.ondoevents.com|NG|22225e66-6c39-43e6-8444-720b2d508e93
www.nan.ng|NG|e26c021c-a1ca-4962-b959-6473cb05f3d2
flashpointnews.wordpress.com|NG|7de4b4ff-f547-4ebc-81db-c86df4d03d25
worldstagegroup.com|NG|0298d6be-4bda-4fd0-a9cd-4f2ed68e38b4
dailystar.com.ng|NG|af6709c9-f999-43f9-898f-2ad7de9acc82
worldstagegroup.com|NG|f4b6698b-c104-4164-8a30-6311bd0fe97e
dailypost.ng|NG|9e982057-cfdc-409e-8a55-9273e1716042
