domain,cc,size_mobile,size_desktop
www.editogo.tg,TG,2795,2795
www.editorialnigeria.com,NG,5382,5382
www.edoworld.net,NG,151719,151719
www.egynews.net,EG,163852,163852
www.egypt-elections.com,EG,5379,5379
www.egyptindependent.com,EG,172758,142812
www.eikestadnuus.co.za,ZA,59785,148257
www.el-hakaek.com,DZ,295,295
www.el-massa.com,DZ,922,922
www.elacil.com,DZ,10718,10718
www.elahdath.net,DZ,79070,79172
www.elbilad.net,DZ,67940,114593
www.elconfidencialsaharaui.com,EH,71650,105817
www.eldjazaircom.dz,DZ,28148,28148
www.eldjoumhouria.dz,DZ,64776,64776
www.elgoual.com,DZ,293,293
www.elheddaf.com,DZ,139265,139562
www.eljadida.com,MA,53383,53383
www.elkhabar.com,DZ,92262,92260
www.elmoudjahid-hebdo.com,DZ,2864,303
www.elmoudjahid.com,DZ,101173,101173
www.elombah.com,NG,213894,213894
www.elwassat.com,DZ,163809,163809
www.elwatan.com,DZ,86162,86162
www.emarrakech.info,MA,-1,-1
www.ena.gov.et,ET,146570,146570
www.enca.com,ZA,373213,137151
www.ennaharonline.com,DZ,195215,195346
www.enqueteplus.com,SN,130951,130951
www.enqueteur-gn.info,GQ,111720,111720
www.entv.dz,DZ,22813,22813
www.ereporter.com.ng,NG,-1,-1
www.eritrea24.com,ER,58130,58130
www.eritreadaily.net,ER,162842,162842
www.ertagov.com,ET,55181,55181
www.essahafa.info.tn,TN,64906,64906
www.essor.ml,ML,356764,356747
www.ethiomedia.com,ET,65401,65401
www.ethionewsdirect.com,ET,157360,108774
www.ethioobserver.net,ET,549333,549333
www.ethiopian-news.com,ET,118261,118261
www.ethiopianism.net,ET,-1,-1
www.ethiopianreporter.com,ET,104864,104642
www.ethiopians.com,ET,20601,20601
www.etiame.com,TG,168664,168723
www.evenement-bf.net,BF,38314,38314
www.expansao.co.ao,AO,81319,81319
www.expatica.com,ZA,22374,22374
www.expotimesonline.net,SL,47124,46731
www.expressodasilhas.sapo.cv,CV,32630,32630
www.ezega.com,ET,26377,26377
www.faceofmalawi.com,MW,62509,142238
www.factualreporters.com,NG,82499,82499
www.farajat.net,ER,369271,369271
www.fasonews.net,BF,22034,22034
www.fasopresse.net,BF,47805,47805
www.fasozine.com,BF,21197,21198
www.febpress.ly,LY,211,211
www.fimdesemana.co.mz,MZ,-1,-1
www.financialgazette.co.zw,ZW,96652,96652
www.financialmail.co.za,ZA,421423,421423
www.finitemagazine.co.ls,LS,100193,100193
www.flavafm.co.zm,ZM,45300,45300
www.focusinfos.net,TG,70574,70574
www.forumdelasemaine.com,TG,29076,29076
www.fraternitebj.info,BJ,92891,92891
www.fratmat.info,CI,80806,80918
www.frcnssz.com,NG,8371,8371
www.freedomnewspaper.com,GM,288153,286377
www.freedomradionig.com,NG,55651,55651
www.freemedia.co.tz,TZ,46257,46264
www.freshangleng.com,NG,52429,52429
www.freshfactsonlinenews.net,NG,9107,9680
www.frontiersnews.com,NG,188677,188956
www.frontpageafricaonline.com,LR,193383,172711
www.gabonactu.com,GA,213159,212878
www.gaboneco.com,GA,58361,58361
www.gabonews.com,GA,52032,52032
www.gabonlibre.com,GA,168463,168463
www.gabzfm.com,BW,1723,1723
www.galaxytvonline.com,NG,39038,39278
www.gamji.com,NG,649,649
www.garoweonline.com,SO,119188,119188
www.gazettebw.com,BW,155,155
www.gaznot.com,GW,57707,57217
www.gbcghana.com,GH,43610,43610
www.gbcsomtv.com,SO,6518,6518
www.gbich.com,CI,51389,51585
www.gbissau.com,GW,39683,139934
www.gbn.co.za,ZA,66048,65900
www.georgeherald.com,ZA,249406,332213
www.ghana.gov.gh,GH,41150,41150
www.ghanabusinessnews.com,GH,70997,70774
www.ghanadistricts.com,GH,250384,261495
www.ghanadot.com,GH,53274,53274
www.ghanaiantimes.com.gh,GH,102880,102880
www.ghanamma.com,GH,202531,203712
www.ghananation.com,GH,-1,-1
www.ghananewsagency.org,GH,60548,37463
www.ghanareview.com,GH,1059,1059
www.ghanasoccernet.com,GH,65422,89295
www.ghanatoday.com,GH,82573,82573
www.ghanavoice.com,GH,13866,13866
www.ghanaweb.com,GH,47334,27466
www.globaltimes-sl.com,SL,2743,155820
www.gnet.tn,TN,99706,99706
www.golfemediaonline.com,BJ,43732,43732
www.gossipnigeria.com,NG,54201,146545
www.gov.ls,LS,155,155
www.greytown.co.za,ZA,64189,64189
www.grocotts.co.za,ZA,164573,164573
www.groupelavenir.org,CD,101259,100399
www.grts.gm,GM,86143,86143
www.guardian.co.tz,TZ,21729,21729
www.guineatime.com,GQ,-1,-1
www.guinee24.com,GQ,41041,41041
www.guinee360.com,GQ,118919,118919
www.guinee7.com,GQ,54755,300016
www.guineeconakry.info,GQ,-1,-1
www.guineepresse.info,GQ,84525,84525
www.gurtong.net,SS,193420,193264
www.habarileo.co.tz,TZ,131093,130735
www.habarizacomores.com,KM,808549,808410
www.hafianews.com,GQ,-1,-1
www.hallmarknews.com,NG,61854,61854
www.harare24.com,ZW,18197,57136
www.hararenews.co.zw,ZW,300485,300485
www.hebdo.bf,BF,75,75
www.hebdoimmobilier-dz.com,DZ,73333,73333
www.heidelbergnigelheraut.co.za,ZA,103914,287448
www.herald.co.za,ZA,28369,28369
www.herald.co.zw,ZW,154877,154877
www.heraldlive.co.za,ZA,238975,238975
www.hermanustimes.co.za,ZA,59441,145420
www.hiiraan.com,SO,83092,83092
www.homeviewsenegal.com,SN,245942,246817
www.horizons-dz.com,DZ,-1,-1
www.huhuonline.com,NG,220934,220934
www.hurriyatsudan.com,SD,-1,-1
www.iafrica.com,ZA,68,76833
www.ialtchad.com,TD,54399,54399
www.ibinda.com,AO,26096,26096
www.icibenin.com,BJ,149208,149208
www.icilome.com,TG,77282,168450
www.igfm.sn,SN,102580,102580
www.ilanganews.co.za,ZA,65261,65261
www.ilorin.info,NG,27372,27345
www.imatin.net,CI,154889,241878
www.imensis.co.mz,MZ,715,715
www.imostateblog.com,NG,66038,66038
www.imotrumpeta.com,NG,51748,51748
www.impact24.info,DZ,123860,123860
www.independent.co.ug,UG,99094,99094
www.indepthnigeria.com,NG,9030,9609
www.infoconstantine.com,DZ,2884,2856
www.infoghana.info,GH,79973,79973
www.infoguinee.com,GQ,72143,72140
www.infonigeria.net,NG,16343,27517
www.informante.web.na,NA,313101,313101
www.informationng.com,NG,107312,109888
www.informativenews.co.ls,LS,96333,96333
www.infosen.net,SN,929,929
www.infoskikda.com,DZ,-1,-1
www.infosoir.com,DZ,7072,7072
www.infosplusgabon.com,GA,42623,42460
www.infotunisie.com,TN,49180,49180
www.insiderzim.com,ZW,48838,48838
www.insight.com.na,NA,111545,199654
www.inthenews.co.za,ZA,-1,-1
www.iol.co.za,ZA,437012,437012
www.ionigeria.com,NG,109703,109703
www.ippmedia.com,TZ,164621,164621
www.ipreunion.com,RE,101410,101410
www.iq4news.com,NG,215941,215939
www.isanganiro.org,BI,28147,28147
www.itv.co.tz,TZ,162,162
www.ivoire-presse.com,CI,27616,80994
www.ivoireactu.net,CI,68777,68777
www.ivoirediaspo.net,CI,86410,86412
www.ivorian.net,CI,1868,1868
www.iwacu-burundi.org,BI,108691,108691
www.jadidpresse.com,MA,5006,5006
www.jamana.org,ML,28200,28200
www.jamhuuriya.info,SO,-1,-1
www.jbaynews.com,ZA,140616,140616
www.jdd.sn,SN,-1,-1
www.jeberti.com,ER,109480,109480
www.jeune-independant.net,DZ,127623,127623
www.jeunessedalgerie.com,DZ,85689,85689
www.jijel-echo.com,DZ,1510177,1510190
www.jijel.info,DZ,77638,77638
www.jollofnews.com,GM,112100,112613
www.joradp.dz,DZ,672,672
www.jornalnoticias.co.mz,MZ,89475,89475
www.journal-adjinakou-benin.info,BJ,39083,39083
www.journaldebangui.com,CF,82267,82267
www.journaldebrazza.com,CG,200319,200319
www.journaldikalo.info,CM,-1,-1
www.journalducameroun.com,CM,236453,236453
www.journaldujeudi.com,BF,2083,2083
www.journaldusport.ma,MA,161210,161207
www.journaldutchad.com,TD,79433,79433
www.k-towndiary.com,CM,7728,7378
www.kababachir.com,GQ,463125,463124
www.kabyle.com,DZ,53474,53804
www.kapital971.com,GH,72820,74616
www.kawalisse.com,DZ,88045,88045
www.kawowo.com,UG,125302,125302
www.kbc.co.ke,KE,271947,271947
www.kbn.co.za,ZA,46778,46913
www.kenya-today.com,KE,45442,56629
www.kenyamoja.com,KE,266457,266020
www.kenyan-post.com,KE,123096,123097
www.kenyanewsupdates.com,KE,1558,1558
www.kitwetimes.com,ZM,-1,-1
www.kivumedia.com,CD,234153,234153
www.koerant.co.za,ZA,102352,102352
www.kogireports.com,NG,-1,-1
www.kormorant.co.za,ZA,103327,278356
www.kotzot.com,MU,0,0
www.kougaexpress.co.za,ZA,58914,109904
www.ktnkenya.tv,KE,-1,-1
www.ktvsl.com,SL,78729,78515
www.kwaranews.com,NG,41006,89146
www.kwayedza.co.zw,ZW,61389,61389
www.kwevoel.co.za,ZA,153995,153995
www.laconscience.com,CD,41167,41167
www.lactualite-dz.info,DZ,-1,-1
www.ladepechedabidjan.info,CI,144692,143720
www.lagachettedumaroc.com,MA,9203,9210
www.lagazette-dgi.com,MG,42192,42192
www.lagazette.sn,SN,-1,-1
www.lagazettedescomores.com,KM,50726,50726
www.lagazettedumaroc.com,MA,-1,-1
www.lana-news.ly,LY,37533,37531
www.lanation-arabe.dz,DZ,203,203
www.lanation.dz,DZ,1175,1175
www.lanation.mg,MG,31941,31941
www.lanationbenin.info,BJ,116489,116486
www.lanationdj.com,DJ,59529,59529
www.lanouvellecentrafrique.info,CF,301264,301264
www.lanouvelleexpression.info,CM,116533,116920
www.lanouvelletribune.info,BJ,233001,232569
www.lapresse.tn,TN,55540,55540
www.lapressedujour.net,BJ,26237,46712
www.laprosperiteonline.net,CD,196018,196018
www.laraignee.org,BJ,89847,89847
www.lasemaineafricaine.net,CG,48576,48670
www.latestnigeriannews.com,NG,126114,243403
www.latribune-dz.com,DZ,-1,-1
www.lauthentic.info,MR,62788,62788
www.lautomarche.com,DZ,147774,147774
www.laverite.mg,MG,126755,126755
www.lavieeco.com,MA,58984,168277
www.le-canal.com,YT,3937,3937
www.leaders.com.tn,TN,65613,65613
www.lebuteur.com,DZ,98038,98978
www.lecalame.info,MR,19630,19630
www.leconomiste.com,MA,101958,101958
www.leconomistemaghrebin.com,TN,112095,120307
www.leffortcamerounais.com,CM,143552,142498
www.leffortcamerounais.info,CM,122872,122045
www.lejourdalgerie.com,DZ,55610,55610
www.lejourguinee.com,GQ,272108,272108
www.lejournaldetanger.com,MA,7314,7314
www.lelephantdechaine.net,CI,-1,319
www.lemaghreb.tn,TN,167528,167529
www.lemaghrebdz.com,DZ,96394,96394
www.lematin.ma,MA,87504,72600
www.lematinal.com,MU,295,295
www.lematindz.net,DZ,78379,78379
www.lemauricien.com,MU,349924,349924
www.lemidi-dz.com,DZ,53868,53868
www.lena.gov.ls,LS,13820,13820
www.lenasia-times.co.za,ZA,14386,14386
www.lenouveaureveil.com,CI,14759,14759
www.lenzinfo.co.za,ZA,65735,66625
www.lepatriote.net,CI,59131,59131
www.lepetitjournal.com,EG,701946,701946
www.lephareonline.net,CD,46424,112835
www.lepotentielonline.com,CD,317552,317552
www.lequotidien-oran.com,DZ,55689,55689
www.lequotidien.sn,SN,-1,-1
www.lequotidiendeconstantine.com,DZ,-1,-1
www.leral.net,SN,131442,131454
www.lereporter.ma,MA,147441,148660
www.les4verites.info,BJ,54603,54603
www.lesahel.org,NE,79220,79220
www.lesdebats.com,DZ,2298,2298
www.lesdepechesdebrazzaville.fr,CG,49086,49086
www.leseco.ma,MA,298844,298844
www.lesetifien.com,DZ,-1,-1
