domain,cc,size_mobile,size_desktop
kumasimail.com,GH,826,826
kwekwebiz.com,ZW,155208,155208
ladysmithgazette.co.za,ZA,108248,278671
laghouatinfo.net,DZ,107078,892554
lalternative-togo.com,TG,63121,70002
landbou.com,ZA,74129,115110
latribunedelacapitale.com,BJ,161417,161417
lautrefraternite.com,BJ,87065,87583
lavoixdesidibelabbes.info,DZ,109740,109740
leadership.ng,NG,234466,234466
leboncoin.nu,MU,90502,90502
lechiffredaffaires.net,DZ,102207,102207
lecitoyendz.com,DZ,56933,56933
lecombat.info,ML,56241,56241
leconfrere.info,BJ,69559,69559
lecourrier-dalgerie.com,DZ,120623,121098
ledaily.mg,MG,101837,101837
lefaso.net,BF,105999,105999
lejournaldaffaire.com,DZ,76844,76838
lejournaldemayotte.com,YT,45081,103745
lelynx.net,GQ,48726,48726
lepays.bf,BF,374181,257050
leprovincial.com,DZ,3793,3793
lequotidienalgerie.org,DZ,168206,168206
lestimes.com,LS,266190,266194
letempstg.com,TG,152608,733375
levenementprecis.com,BJ,143440,143440
lexpressguinee.com,GQ,82988,82988
liberal.sapo.cv,CV,294074,294074
libyabizinfo.com,LY,-1,-1
lindaikeji.blogspot.com,NG,91324,171019
lintelligentdabidjan.ci,CI,-1,-1
lnt.ma,MA,47711,50832
lobservateurdumaroc.info,MA,140869,140869
lowvelder.co.za,ZA,118074,289122
lusakastar.com,ZM,105056,105056
lusakavoice.com,ZM,154648,154598
majira-hall.blogspot.com,TZ,85006,85007
makonitimes.com,SL,2754,2738
malawi24.com,MW,33181,60514
malawiana.net,MW,176625,175655
malawilive.com,MW,23753,23265
maliactu.net,ML,130003,130000
manicapost.co.zw,ZW,206176,208569
maravi.blogspot.com,ZM,49383,261270
maritzburgsun.co.za,ZA,110808,275624
marocgazette.com,MA,-1,-1
marocpress.ma,MA,143775,144145
mauritiustimes.com,MU,77015,77015
mayotte.la1ere.fr,YT,203204,203204
mbc.intnet.mu,MU,110276,110276
mediamaxnetwork.co.ke,KE,197038,184153
mg.co.za,ZA,158182,165344
midrandreporter.co.za,ZA,108328,307085
mkegypt.net,EG,350,350
monroviainquirer.com,LR,134850,134850
moroccantimes.com,MA,16181,27096
moroccomedia.com,MA,74403,74403
mtanzania.co.tz,TZ,77564,77565
mthathaexpress.co.za,ZA,61008,112474
mubasher-misr.aljazeera.net,EG,120469,120469
mutations-online.info,CM,-1,-1
mutationsbf.net,BF,2424,293
mysierraleoneonline.com,SL,-1,-1
mzalendo.net,TZ,96814,96742
naijabizcom.com,NG,58683,58683
nationalmirroronline.net,NG,58417,68071
nbs.ug,UG,211969,211969
nehandaradio.com,ZW,177984,177037
nehandatv.com,ZW,88381,88401
new.elfagr.org,EG,124242,124242
newcastleadvertiser.co.za,ZA,110744,288589
newctzen.com,SL,62872,69751
newmail-ng.com,NG,267409,267409
news.aniamey.com,NE,95470,95470
news.bestnaira.com,NG,20327,20623
news.google.com,BW,593376,1082056
news.google.com,EG,503520,1112625
news.google.com,ET,595199,1118710
news.google.com,GH,591426,1114829
news.google.com,KE,594284,1120888
news.google.com,MA,596419,1121778
news.google.com,NA,593760,1123564
news.google.com,NG,595311,1124045
news.google.com,SN,593488,1116160
news.google.com,TZ,593301,1117385
news.google.com,UG,595205,1119079
news.google.com,ZA,593287,1118327
news.google.com,ZW,598860,1104771
news.maraviexpress.com,MW,154743,154743
news.sudanvisiondaily.com,SD,6907,6371
newsbreaknigeria.com,NG,-1,-1
newsdayngonline.com,NG,319,319
newsdiaryonline.com,NG,289548,289548
newsducamer.com,CM,198100,172855
newsinlibya.com,LY,2744,2722
newsinvestigatorsng.com,NG,88093,88093
newslexpoint.com,UG,366603,368540
newsly.ma,MA,38216,38216
newsofthesouth.com,ZW,69050,69050
newsvyb.com,ZW,10531,10531
