domain,name,cc,region,type,category,language,comment,geoloc_cc,geoloc_city,traceloc_cc,traceloc_city,size_mobile,size_desktop
bj.jolome.com,Jolome News,BJ,National,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
blanknewsonline.wordpress.com,Blank News Online,NG,Asaba,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
boksburgadvertiser.co.za,Boksburg Advertiser,ZA,Boksburg,NP,GI,ENG,Also AFR,NULL,NULL,NULL,NULL,NULL,NULL
brakpanherald.co.za,Brakpan Herald,ZA,Brakpan,NP,GI,ENG,Also AFR,NULL,NULL,NULL,NULL,NULL,NULL
brazza-news.com,Brazza News,CG,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
breezefmchipata.com,Breeze 89.3 FM,ZM,Chipata,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
bulawayo24.com,Bulawayo 24 News,ZW,Bulawayo,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
burundi-24.com,Burundi 24,BI,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
businessdayonline.com,Business Day,NG,Lagos,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
businesseyengr.com,Business Eye,NG,Nationwide,MG,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
businessnews.com.ng,Business News,NG,Nationwide,IN,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
businessworldng.com,Business World,NG,Lagos,NP,BU,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
buzzghana.com,Buzz Ghana,GH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
buzzkenya.com,Buzz Kenya,KE,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
buzznigeria.com,Buzz Nigeria,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
buzzsouthafrica.com,Buzz South Africa,ZA,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
cameroonjournal.com,Cameroon Daily Journal,CM,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
cameroonwebnews.com,Cameroon Web News,CM,Nationwide,IN,GI,FRA,Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
capitalradio.co.ug,Capital FM,UG,Kampala,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
centrafrique-presse.over-blog.com,Centrafrique Presse,CF,Nationwide,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
citizen.co.za,Citizen,ZA,Johannesburg,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
city1051fm.com,City 105.1 FM,NG,Lagos,BC,GI,ENG,Radio,NULL,NULL,NULL,NULL,NULL,NULL
citybuzz.co.za,City Buzz,ZA,Johannesburg (Central),NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
cocorioko.info,Cocorioko,SL,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
comarochronicle.co.za,Comaro Chronicle,ZA,Johannesburg (South),NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
completesportsnigeria.com,Complete Sports,NG,Nationwide,NP,SP,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
congo-liberty.com,Congo Liberty,CG,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
congopanorama.info,Congo Panorama,CD,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
crossriverwatch.com,Cross River Watch,NG,Calabar,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
crtv.cm,Cameroon Radio Television,CM,Nationwide,BC,GI,FRA,Radio TV Also ENG,NULL,NULL,NULL,NULL,NULL,NULL
cyberzena.com,Cyber Zena,ET,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
dailyegypt.net,Daily Egypt,EG,National,IN,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
dailyindependentnig.com,Daily Independent,NG,Lagos,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
dailynews.gm,Daily News,GM,Banjul,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
dailypost.ng,Daily Post,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
dailypost.ug,Daily Post,UG,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
dailyreviewonline.com.ng,Daily Review Online,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
dailystar.com.ng,Daily Star,NG,Nationwide,IN,EN,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
desertherald.com,Desert Herald,NG,Kaduna,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
diasporasaharaui-en.blogspot.com,Western Sahara News,EH,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
dieson.mobi,Die Son,ZA,Cape Town,NP,GI,AFR,,NULL,NULL,NULL,NULL,NULL,NULL
diplomat.so,Diplomat News Network,SO,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
djiboutination.com,Djibouti Nation,DJ,Foreign,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
eagle.co.ug,Eagle Online,UG,National,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
eaglereporters.com,Eagle Reporters,NG,Nationwide,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ecadforum.com,ECADF,ET,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
echosdesidibelabbes.info,Les Echos de Sidi bel Abbes,DZ,Sidi bel Abbes,IN,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
economiaemercado.sapo.ao,Economia e Mercado,AO,National,MG,BU,POR,,NULL,NULL,NULL,NULL,NULL,NULL
ectv.org,ECTV,ET,Foreign,BC,GI,AMH,,NULL,NULL,NULL,NULL,NULL,NULL
edennewspaper.org,Eden,CM,Limbe,NP,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
egyptcmnews.com,Egypt Commercial News,EG,National,IN,BU,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
egypttoday.com,Egypt Today,EG,National,MG,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
el-youm.info,El Youm,DZ,National,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
elayem.com,El Ayem El Djazairia,DZ,Alger,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
elmassar-ar.com,El Massar El Arabi,DZ,Alger,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
elraaed.com,El Raaed,DZ,Alger,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
elwaha-dz.com,El Waha,DZ,Ghardaiaran,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
elwatani.com,El Watani,DZ,Alger,NP,GI,ARA,,NULL,NULL,NULL,NULL,NULL,NULL
es.groups.yahoo.com,Sahara Info,EH,National,IN,GI,SPA,Also FRA,NULL,NULL,NULL,NULL,NULL,NULL
ethioforum.org,Ethiopian Media Forum,ET,Foreign,IN,GI,ENG,Also AMH,NULL,NULL,NULL,NULL,NULL,NULL
ethiopiaforums.com,Ethiopia Forums,ET,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
ethiopianreview.com,Ethiopian Review,ET,Foreign,IN,GI,ENG,,NULL,NULL,NULL,NULL,NULL,NULL
evasion.lepays.bf,Evasion,BF,Ouagadougou,NP,GI,FRA,,NULL,NULL,NULL,NULL,NULL,NULL
