"domain","name","cc","region","type","category","language","comment","geoloc_cc",size_mobile,size_desktop
"edennewspaper.org","Eden","CM","Limbe","NP","GI","ENG","","AU",63105,69984
"egypttoday.com","Egypt Today","EG","National","MG","GI","ENG","","US",69210,69210
"el-youm.info","El Youm","DZ","National","NP","GI","ARA","","FR",215303,215303
"elayem.com","El Ayem El Djazairia","DZ","Alger","NP","GI","ARA","","US-TX",2645,2645
"elmassar-ar.com","El Massar El Arabi","DZ","Alger","NP","GI","ARA","","FR",74378,74378
"elraaed.com","El Raaed","DZ","Alger","NP","GI","ARA","","FR",184886,184886
"elwaha-dz.com","El Waha","DZ","Ghardaiaran","NP","GI","ARA","","GB",64133,184751
"elwatani.com","El Watani","DZ","Alger","NP","GI","ARA","","FR",108623,108623
"es.groups.yahoo.com","Sahara Info","EH","National","IN","GI","SPA","Also FRA","GB",49952,57695
"ethioforum.org","Ethiopian Media Forum","ET","Foreign","IN","GI","ENG","Also AMH","US-CA",2888,2884
"ethiopiaforums.com","Ethiopia Forums","ET","Foreign","IN","GI","ENG","","US-UT",75804,75804
"ethiopianreview.com","Ethiopian Review","ET","Foreign","IN","GI","ENG","","FR",17777,17777
"evasion.lepays.bf","Evasion","BF","Ouagadougou","NP","GI","FRA","","FR",80947,80947
"ewn.co.za","Eye Witness News","ZA","National","IN","GI","ENG","","ZA",218312,223137
"exposeghana.com","Expose Ghana","GH","National","IN","GI","ENG","","US-TX",57380,57380
"eyeradio.org","Eye Radio","SS","National","BC","GI","ENG","Radio","SG",41664,41664
"faso-actu.net","Faso Actu","BF","National","IN","GI","FRA","","FR",99914,99914
"financenews.press.ma","Finances News Hebdo","MA","Casablanca","NP","BU","FRA","","FR",40899,40899
"flashpointnews.wordpress.com","Flashpoint News","NG","Asaba","IN","GI","ENG","","US",420706,448559
"focus.rw","Rwanda Focus","RW","Kigali","NP","GI","ENG","","US-TX",52320,52320
"foroyaa.gm","Foroyaa","GM","Banjul","NP","GI","ENG","","US-CA",279433,279433
"fourwaysreview.co.za","Fourways Review","ZA","Fourways","NP","GI","ENG","","US",111157,293549
"fr.alakhbar.info","Alakhbar","MR","National","PA","GI","FRA","","DE",31321,31321
"gabonreview.com","Gabon Review","GA","National","IN","GI","FRA","","FR",111068,111068
"gainako.com","Gainako News","GM","Foreign","IN","GI","ENG","","US-AZ",172133,172133
"germinalnewspaper.com","Germinal","CM","Yaounde","NP","GI","FRA","","US-AZ",804,804
"germistoncitynews.co.za","Germiston City News","ZA","Germiston","NP","GI","ENG","Also AFR","US",112632,297788
"ghanaianlens.com","Ghanaian Lens","GH","Accra","NP","GI","ENG","","US-AZ",315,315
"ghananewslink.com","Ghana News Link","GH","National","IN","GI","ENG","","US-TX",94371,94371
"ghananewsportal.com","Ghana News Portal","GH","National","IN","GI","ENG","","US-KS",7462,7462
"ghheadlines.com","GH Headlines","GH","National","IN","GI","ENG","","DE",216591,216591
"gistyinka.net","Gistyinka Blog","NG","Nationwide","IN","EN","ENG","","US-AZ",18067,17999
"globalvillageextra.com","Global Village Extra","NG","Nationwide","IN","GI","ENG","","US-TX",195981,195981
"gloryfm.com","Glory FM","NG","Yenagoa","BC","GI","ENG","Radio","VG",16255,26990
"gnnliberia.com","GNN Liberia","LR","Nationwide","IN","GI","ENG","","US-AZ",101974,101973
"goldenpennewspaper.blogspot.com","Golden Pen","NG","Yenagoa","NP","GI","ENG","","US-CA",39931,137074
"graphic.com.gh","Daily Graphic","GH","National","NP","GI","ENG","","BG",15604,15604
"guinea-forum.org","Guinea Forum","GQ","National","IN","GI","FRA","","CA-ON",31191,59931
"guineeactu.info","Guinee Actu","GQ","National","IN","GI","FRA","","CH",59469,59380
"guineenews.org","Guinee News","GQ","National","IN","GI","FRA","","US",298946,300097
"haatuf.net","Haatuf","SO","Hargeisa","NP","GI","SOM","","US-IL",48614,48614
"happyghana.com","Happy FM","GH","Accra","BC","GI","ENG","Radio","US-VA",73458,72205
"hebdo.ahram.org.eg","Al Ahram Hebdo","EG","Cairo - Le Caire","NP","GI","FRA","","EG",104865,104865
"heritageliberia.net","Heritage","LR","Monrovia","NP","GI","ENG","","US",7597,7597
"highwaymail.co.za","Highway Mail","ZA","Pinetown","NP","GI","ENG","","US",110918,283497
"hmetro.co.zw","H Metro","ZW","Harare","NP","GI","ENG","","US-UT",90957,90957
"iharare.com","I Harare","ZW","National","IN","GI","ENG","","US-AZ",132265,135481
"imvahonshya.co.rw","Imvaho Nshya","RW","National","NP","GI","KIN","","US-TX",92360,92360
"ireports-ng.com","I Reports NG","NG","Nationwide","IN","GI","ENG","","LT",202882,202882
"isoexpress.co.za","Isolomzi Express","ZA","Cala","NP","GI","ENG","Also XHO","ZA",61008,112472
"itvradionigeria.com","Independent Television and Radio","NG","Benin City","BC","GI","ENG","","US-AZ",185038,185038
"jamboleonews.blogspot.com","Jambo Leo","TZ","Dar es Salaam","NP","GI","SWA","","US-CA",22250,19080
"joburgeastexpress.co.za","Joburg East Express","ZA","Johannesburg (East)","NP","GI","ENG","","US",110677,280935
"jornaldeangola.sapo.ao","Jornal de Angola","AO","National","NP","GI","POR","","PT",78560,78558
"jornaldeeconomia.sapo.ao","Economia e Financas","AO","Luanda","NP","BU","POR","","PT",2599,36787
"jornaldosdesportos.sapo.ao","Jornal dos Desportos","AO","Luanda","NP","SP","POR","","PT",2575,57124
"jornalf8.net","Folha 8","AO","Luanda","NP","GI","POR","","PT",166282,166282
"journal.rdpcpdm.cm","L'Action","CM","Yaounde","NP","GI","FRA","Also ENG","US-CA",275662,275662
"kabyleuniversel.com","Kabyle Universel","DZ","Tizi Ouzou","IN","ET","FRA","Kabyle","US-MA",248344,248344
"kampalasun.co.ug","Kampala Sun","UG","Kampala","NP","GI","ENG","","US-UT",164250,164250
"kemptonexpress.co.za","Kempton Express","ZA","Kempton Park","NP","GI","ENG","","US",109070,294861
"kenyanewsagency.go.ke","Kenya News Agency","KE","National","PA","GI","ENG","","US-NJ",166,166
"kfm.co.ug","KFM","UG","Kampala","BC","GI","ENG","Radio","US-TX",20899,20899
"krugersdorpnews.co.za","Krugersdorp News","ZA","Krugersdorp","NP","GI","ENG","","US",109238,291021
"kumasimail.com","Kumasi Mail","GH","Kumasi","NP","GI","ENG","","CH",826,826
"kwekwebiz.com","Kwekwe Biz","ZW","Kwekwe","IN","GI","ENG",NULL,"US-FL",155208,155208
"ladysmithgazette.co.za","Ladysmith Gazette","ZA","Ladysmith","NP","GI","ENG","","US",108248,278671
"laghouatinfo.net","Laghouat Info","DZ","Laghouat","IN","GI","ARA","","FR",107078,892554
"lalternative-togo.com","L'Alternative","TG","Lome","NP","GI","FRA","","US-MA",63121,70002
"landbou.com","Landbou Weekblad","ZA","Cape Town","NP","AG","AFR","","ZA",74129,115110
"latribunedelacapitale.com","La Tribune de La Capitale","BJ","Porto Novo","NP","GI","FRA","","US-TX",161417,161417
"lautrefraternite.com","L'Autre Fraternite","BJ","National","IN","GI","FRA","","US-FL",87065,87583
"lavoixdesidibelabbes.info","La Voix de Sidi bel Abbes","DZ","Sidi bel Abbes","IN","GI","FRA","","FR",109740,109740
"leadership.ng","Leadership","NG","Abuja","NP","GI","ENG","","US",234466,234466
"leboncoin.nu","Le Boncoin","MU","National","IN","GI","FRA","","GB",90502,90502
"lechiffredaffaires.net","Le Chiffre d'Affaires","DZ","Alger","NP","BU","FRA","","FR",102207,102207
"lecitoyendz.com","Le Citoyen","DZ","Alger","NP","GI","FRA","","US-OK",56933,56933
"lecombat.info","Le Combat","ML","Bamako","NP","GI","FRA","","US-WA",56241,56241
"leconfrere.info","Le Confrere de La Matinee","BJ","Cotonou","NP","GI","FRA","","FR",69559,69559
"lecourrier-dalgerie.com","Le Courrier d'Algerie","DZ","Alger","NP","GI","FRA","","FR",120623,121098
"ledaily.mg","Le Daily","MG","National","IN","GI","FRA","","US",101837,101837
"lefaso.net","Le Faso","BF","National","IN","GI","FRA","","FR",105999,105999
"lejournaldaffaire.com","Le Journal d'Affaires","DZ","Alger","NP","BU","FRA","","FR",76844,76838
"lejournaldemayotte.com","Le Journal de Mayotte","YT","Nationwide","NP","GI","FRA","","FR",45081,103745
"lelynx.net","Le Lynx","GQ","Conakry","NP","SR","FRA","","US-AZ",48726,48726
"lepays.bf","Le Pays","BF","National","NP","GI","FRA","","FR",374181,257050
"leprovincial.com","Le Provincial","DZ","Annaba","NP","GI","FRA","","AU",3793,3793
"lequotidienalgerie.org","Le Quotidien d'Algerie","DZ","National","IN","GI","FRA","","CA-QC",168206,168206
"lestimes.com","Lesotho Times","LS","National","NP","GI","ENG","","ZA",266190,266194
"letempstg.com","Le Temps Togo","TG","Foreign","IN","GI","FRA","","US-AZ",152608,733375
"levenementprecis.com","L'Evenement Precis","BJ","Cotonou","NP","GI","FRA","","US-FL",143440,143440
"lexpressguinee.com","L'Express Guinee","GQ","National","IN","GI","FRA","","FR",82988,82988
"liberal.sapo.cv","Liberal","CV","Nationwide","IN","GI","POR","","PT",294074,294074
"lindaikeji.blogspot.com","Welcome to Linda Ikeji's Blog","NG","Nationwide","IN","GI","ENG","","US-CA",91324,171019
"lnt.ma","La Nouvelle Tribune","MA","Casablanca","NP","GI","FRA","","FR",47711,50832
"lobservateurdumaroc.info","L'Observateur","MA","National","IN","GI","FRA","","US",140869,140869
"lowvelder.co.za","Laevelder Lowvelder","ZA","Nelspruit","NP","GI","AFR","Also ENG","US",118074,289122
"lusakastar.com","Lusaka Star","ZM","National","IN","GI","ENG","","DE",105056,105056
"lusakavoice.com","Lusaka Voice","ZM","National","IN","GI","ENG","","US",154648,154598
"majira-hall.blogspot.com","Majira","TZ","Dar es Salaam","NP","GI","SWA","","US-CA",85006,85007
"makonitimes.com","Makoni Times","SL","National","IN","GI","ENG","","AU",2754,2738
"malawi24.com","Malawi 24","MW","National","IN","GI","ENG","","US",33181,60514
"malawiana.net","Malawiana","MW","National","IN","GI","ENG","","US-UT",176625,175655
"malawilive.com","Malawi Live","MW","National","IN","GI","ENG","","US-TX",23753,23265
"maliactu.net","Mali Actu","ML","National","IN","GI","FRA","","US",130003,130000
"manicapost.co.zw","Manica Post","ZW","Mutare","NP","GI","ENG","","US-UT",206176,208569
"maravi.blogspot.com","Maravi","ZM","National","IN","GI","ENG","","US-CA",49383,261270
"maritzburgsun.co.za","Maritzburg Sun","ZA","Pietermaritzburg","NP","GI","ENG","","US",110808,275624
"marocpress.ma","Maroc Press","MA","National","IN","GI","ARA","Site 2","US",143775,144145
"mauritiustimes.com","Mauritius Times","MU","Port Louis","NP","GI","ENG","","US-AZ",77015,77015
"mayotte.la1ere.fr","La 1ere","YT","Nationwide","BC","GI","FRA","Radio TV","EU",203204,203204
"mbc.intnet.mu","MBC","MU","National","BC","GI","FRA","Radio TV Also ENG","MU",110276,110276
"mediamaxnetwork.co.ke","People Daily","KE","Nairobi","NP","GI","ENG","","US",197038,184153
"mg.co.za","Mail and Guardian","ZA","National","NP","GI","ENG","","US",158182,165344
"midrandreporter.co.za","Midrand Reporter","ZA","Midrand","NP","GI","ENG","","US",108328,307085
"mkegypt.net","MK","EG","Cairo","NP","ET","RUS","Russian","UA",350,350
"monroviainquirer.com","Inquirer","LR","Monrovia","NP","GI","ENG","","US-IL",134850,134850
"moroccantimes.com","Moroccan Times","MA","National","IN","GI","ENG","","US-TX",16181,27096
