"domain","cc","geoloc_cc",size_mobile,"price1gb","price_mobile",size_desktop,"price_desktop"
"www.ahram.org.eg","EG","EG",406100,"1.6968","0.0006",406100,"0.0006"
"www.almasryalyoum.com","EG","US",67241,"1.6968","0.0001",125953,"0.0002"
"www.almessa.net.eg","EG","US",251763,"1.6968","0.0004",251763,"0.0004"
"www.alwafd.org","EG","US",51690,"1.6968","0.0001",122494,"0.0002"
"www.alwatanalarabi.com","EG","US",219292,"1.6968","0.0003",180316,"0.0003"
"www.cairolive.com","EG","US",97920,"1.6968","0.0002",97920,"0.0002"
"www.cbc-eg.com","EG","US",3649,"1.6968","0.0000",3649,"0.0000"
"www.dailynewsegypt.com","EG","US",134703,"1.6968","0.0002",134703,"0.0002"
"www.dostor.org","EG","US",97716,"1.6968","0.0002",97718,"0.0002"
"www.egynews.net","EG","NL",163852,"1.6968","0.0003",163852,"0.0003"
"www.egypt-elections.com","EG","US",5379,"1.6968","0.0000",5379,"0.0000"
"www.egyptindependent.com","EG","US",172758,"1.6968","0.0003",142812,"0.0002"
"www.lepetitjournal.com","EG","FR",701946,"1.6968","0.0011",701946,"0.0011"
"www.madamasr.com","EG","US",45469,"1.6968","0.0001",161869,"0.0003"
"www.masralarabia.com","EG","FR",145474,"1.6968","0.0002",345959,"0.0005"
"www.niletc.tv","EG","US",145052,"1.6968","0.0002",145052,"0.0002"
"www.shorouknews.com","EG","US",52652,"1.6968","0.0001",110392,"0.0002"
"www.sis.gov.eg","EG","EG",105416,"1.6968","0.0002",105416,"0.0002"
"www.wataninet.com","EG","US",233677,"1.6968","0.0004",233463,"0.0004"
"www.youm7.com","EG","US",196649,"1.6968","0.0003",216989,"0.0003"
"diasporasaharaui-en.blogspot.com","EH","US",41562,NULL,NULL,290435,NULL
"es.groups.yahoo.com","EH","GB",49952,NULL,NULL,57695,NULL
"rasd.tv","EH","DE",22309,NULL,NULL,26146,NULL
"saharaoccidental.blogspot.com","EH","US",37970,NULL,NULL,93675,NULL
"wsrw.org","EH","US",31156,NULL,NULL,66274,NULL
"www.elconfidencialsaharaui.com","EH","US",71650,NULL,NULL,105817,NULL
"www.rasd-tv.com","EH","ES",22309,NULL,NULL,26148,NULL
"www.sahara-online.net","EH","FR",97265,NULL,NULL,96720,NULL
"www.sahara-update.org","EH","US",16432,NULL,NULL,22331,NULL
"awate.com","ER","US",93228,NULL,NULL,93228,NULL
"tig.asmarino.com","ER","US",87821,NULL,NULL,125272,NULL
"www.asmarino.com","ER","US",87837,NULL,NULL,125240,NULL
"www.capitaleritrea.com","ER","DE",78679,NULL,NULL,78819,NULL
"www.eritrea24.com","ER","US",58130,NULL,NULL,58130,NULL
"www.eritreadaily.net","ER","US",162842,NULL,NULL,162842,NULL
"www.farajat.net","ER","AU",369271,NULL,NULL,369271,NULL
"www.jeberti.com","ER","BG",109480,NULL,NULL,109480,NULL
"www.meskerem.net","ER","US",71057,NULL,NULL,71057,NULL
"www.shabait.com","ER","BG",326904,NULL,NULL,326904,NULL
"addisfortune.net","ET","US",11234,"6.2018","0.0001",72560,"0.0004"
"cyberzena.com","ET","DE",10984,"6.2018","0.0001",11011,"0.0001"
"ecadforum.com","ET","US",114170,"6.2018","0.0007",114170,"0.0007"
"ectv.org","ET","US",36934,"6.2018","0.0002",36935,"0.0002"
"ethiopiaforums.com","ET","US",75804,"6.2018","0.0004",75804,"0.0004"
"ethiopianreview.com","ET","FR",17777,"6.2018","0.0001",17777,"0.0001"
"news.google.com","ET","US",595199,"6.2018","0.0034",1118710,"0.0065"
"www.addisadmassnews.com","ET","US",52600,"6.2018","0.0003",52600,"0.0003"
"www.awrambatimes.com","ET","US",50804,"6.2018","0.0003",50803,"0.0003"
"www.cyberethiopia.com","ET","BG",44752,"6.2018","0.0003",44749,"0.0003"
"www.ena.gov.et","ET","ET",146570,"6.2018","0.0008",146570,"0.0008"
"www.ertagov.com","ET","JP",55181,"6.2018","0.0003",55181,"0.0003"
"www.ethiomedia.com","ET","US",65401,"6.2018","0.0004",65401,"0.0004"
"www.ethionewsdirect.com","ET","US",157360,"6.2018","0.0009",108774,"0.0006"
"www.ethioobserver.net","ET","US",549333,"6.2018","0.0032",549333,"0.0032"
"www.ethiopian-news.com","ET","US",118261,"6.2018","0.0007",118261,"0.0007"
"www.ethiopians.com","ET","US",20601,"6.2018","0.0001",20601,"0.0001"
"www.lesnouvelles.org","ET","US",63357,"6.2018","0.0004",20084,"0.0001"
