"domain",mobile_page_size,desktop_page_size,objects_total,diff_mobile,diff_desktop
"www.cameroonweb.com",46436,26203,2271523,-2225087,-2245320
"www.cameroun-online.com",263461,263461,1890429,-1626968,-1626968
"www.cameroun24.net",60610,60610,14144,46466,46466
"www.camerounactu.net",14808,14808,110582,-95774,-95774
"www.camerounlink.net",165646,217878,13271,152375,204607
"www.camnews24.com",70917,70917,69096,1821,1821
"www.capetalk.co.za",52158,52158,348871,-296713,-296713
"www.capitaleritrea.com",78679,78819,3328961,-3250282,-3250142
"www.capitalfm.co.ke",76115,76072,679758,-603643,-603686
"www.capitalradiomalawi.com",114292,-1,923757,-809465,-923758
"www.carletonvilleherald.com",67686,184437,638054,-570368,-453617
"www.carrefourdalgerie.com",61218,61227,350220,-289002,-288993
"www.cbc-eg.com",3649,3649,105943,-102294,-102294
"www.cbn.co.za",115408,115408,915099,-799691,-799691
"www.ceelqaboobe.com",147928,147928,132624,15304,15304
"www.channelafrica.co.za",87863,87863,996,86867,86867
"www.channelstv.com",150569,131057,2235351,-2084782,-2104294
"www.chikuniradiozm.org",24246,35057,118192,-93946,-83135
"www.chronicle.co.zw",130692,130692,4686082,-4555390,-4555390
"www.citifmonline.com",117915,117915,5715137,-5597222,-5597222
"www.citizentv.co.ke",82853,82852,3606950,-3524097,-3524098
"www.citypress.co.za",17320,81373,16881813,-16864493,-16800440
"www.cknnigeria.com",169734,169735,3883182,-3713448,-3713447
"www.club-k.net",122303,123001,3026916,-2904613,-2903915
"www.coastweek.com",619447,619447,25647,593800,593800
"www.comores-actualites.com",63202,70081,990011,-926809,-919930
"www.comores-infos.net",129263,129505,7410454,-7281191,-7280949
"www.competition.dz",62095,62095,4208844,-4146749,-4146749
"www.confidente.com.na",157579,157435,5852100,-5694521,-5694665
"www.congo-site.com",25514,49687,541623,-516109,-491936
"www.congoindependant.com",70426,70426,2489727,-2419301,-2419301
"www.congolais.fr",4164,4164,187167,-183003,-183003
"www.congopage.com",65735,65735,470151,-404416,-404416
"www.congoplanet.com",45163,45243,1227085,-1181922,-1181842
"www.congoplanete.com",47966,47932,1332126,-1284160,-1284194
"www.congotribune.com",36080,36080,1705812,-1669732,-1669732
"www.congovision.com",103216,103216,147516,-44300,-44300
"www.connectionivoirienne.net",107725,107725,2108087,-2000362,-2000362
"www.constantine-aps.dz",43416,43416,36768,6648,6648
"www.cottontreenews.org",18902,18902,34245,-15343,-15343
"www.courriercasablanca.com",164748,164748,940428,-775680,-775680
"www.courrierconfidentiel.net",46081,46081,244506,-198425,-198425
"www.critiqueecho.com",151310,151241,3412098,-3260788,-3260857
"www.cxpress.co.za",32777,32751,53097,-20320,-20346
"www.cyberethiopia.com",44752,44749,3131964,-3087212,-3087215
"www.dac-presse.com",123095,123095,4880940,-4757845,-4757845
"www.daily-mail.co.zm",91223,91189,16561833,-16470610,-16470644
"www.dailyguideghana.com",75796,75796,3710676,-3634880,-3634880
"www.dailymaverick.co.za",298729,298729,522657,-223928,-223928
"www.dailynation.news",94140,94140,788034,-693894,-693894
"www.dailynews.co.tz",158163,158163,465057,-306894,-306894
"www.dailynewsegypt.com",134703,134703,9898630,-9763927,-9763927
"www.dailytrust.com.ng",168859,168859,2852041,-2683182,-2683182
"www.dakaractu.com",202147,202152,14895632,-14693485,-14693480
"www.deboutcongolais.info",36760,36760,8330,28430,28430
"www.defimedia.info",379902,379902,9440199,-9060297,-9060297
"www.depechedekabylie.com",88200,88200,353721,-265521,-265521
"www.dieburger.com",47179,126039,745997,-698818,-619958
"www.digitalcongo.net",3028,3028,219369,-216341,-216341
"www.direct.cd",136763,136763,6240285,-6103522,-6103522
"www.dispatchlive.co.za",214916,214916,1466023,-1251107,-1251107
"www.districtmail.com",56995,146063,789358,-732363,-643295
"www.djazairess.com",107674,108243,88229,19445,20014
"www.djibnet.com",35727,35727,201423,-165696,-165696
"www.dostor.org",97716,97718,2731129,-2633413,-2633411
"www.durbannews.co.za",431355,431355,39984200,-39552845,-39552845
"www.dzfoot.com",60230,67593,331962,-271732,-264369
"www.e-nigeriang.com",144997,144997,4896670,-4751673,-4751673
"www.eastlondonexpress.co.za",61008,112793,171965,-110957,-59172
"www.echo.co.bw",2793,2793,124391,-121598,-121598
"www.echoroukonline.com",285537,285537,10579123,-10293586,-10293586
"www.economist.com.na",587953,588965,3625100,-3037147,-3036135
"www.ecr.co.za",83660,69133,2427494,-2343834,-2358361
"www.edenexpress.co.za",61008,112693,171965,-110957,-59272
"www.edgecommunitynews.com",68000,68000,2677224,-2609224,-2609224
"www.editorialnigeria.com",5382,5382,1770,3612,3612
"www.edoworld.net",151719,151719,556897,-405178,-405178
"www.egynews.net",163852,163852,4332607,-4168755,-4168755
"www.egypt-elections.com",5379,5379,1770,3609,3609
"www.egyptindependent.com",172758,142812,1480560,-1307802,-1337748
"www.eikestadnuus.co.za",59785,148257,787310,-727525,-639053
"www.elbilad.net",67940,114593,203136,-135196,-88543
"www.elconfidencialsaharaui.com",71650,105817,264328,-192678,-158511
"www.eldjoumhouria.dz",64776,64776,17841,46935,46935
"www.elheddaf.com",139265,139562,661227,-521962,-521665
"www.eljadida.com",53383,53383,105188,-51805,-51805
"www.elkhabar.com",92262,92260,86752,5510,5508
"www.elmoudjahid.com",101173,101173,1362435,-1261262,-1261262
"www.elombah.com",213894,213894,873168,-659274,-659274
"www.elwatan.com",86162,86162,442762,-356600,-356600
"www.ena.gov.et",146570,146570,4415294,-4268724,-4268724
"www.enca.com",373213,137151,17343,355870,119808
"www.ennaharonline.com",195215,195346,304359,-109144,-109013
"www.enqueteplus.com",130951,130951,1120679,-989728,-989728
"www.enqueteur-gn.info",111720,111720,228639,-116919,-116919
"www.eritrea24.com",58130,58130,736034,-677904,-677904
"www.eritreadaily.net",162842,162842,5966810,-5803968,-5803968
"www.ertagov.com",55181,55181,255534,-200353,-200353
"www.essor.ml",356764,356747,3309621,-2952857,-2952874
"www.ethiomedia.com",65401,65401,80386,-14985,-14985
"www.ethionewsdirect.com",157360,108774,2776115,-2618755,-2667341
"www.ethioobserver.net",549333,549333,3598401,-3049068,-3049068
"www.ethiopian-news.com",118261,118261,2545905,-2427644,-2427644
"www.ethiopians.com",20601,20601,177513,-156912,-156912
"www.etiame.com",168664,168723,2989425,-2820761,-2820702
"www.expansao.co.ao",81319,81319,5188790,-5107471,-5107471
"www.expatica.com",22374,22374,589147,-566773,-566773
"www.expotimesonline.net",47124,46731,252681,-205557,-205950
"www.expressodasilhas.sapo.cv",32630,32630,2378809,-2346179,-2346179
"www.faceofmalawi.com",62509,142238,977197,-914688,-834959
"www.factualreporters.com",82499,82499,686812,-604313,-604313
"www.farajat.net",369271,369271,1842993,-1473722,-1473722
"www.fasopresse.net",47805,47805,201190,-153385,-153385
"www.financialgazette.co.zw",96652,96652,5197867,-5101215,-5101215
"www.finitemagazine.co.ls",100193,100193,7942226,-7842033,-7842033
"www.flavafm.co.zm",45300,45300,569648,-524348,-524348
"www.focusinfos.net",70574,70574,796899,-726325,-726325
"www.fraternitebj.info",92891,92891,210747,-117856,-117856
"www.fratmat.info",80806,80918,1482893,-1402087,-1401975
"www.frcnssz.com",8371,8371,150449,-142078,-142078
"www.freedomnewspaper.com",288153,286377,1644561,-1356408,-1358184
"www.freedomradionig.com",55651,55651,990936,-935285,-935285
"www.freemedia.co.tz",46257,46264,2029919,-1983662,-1983655
"www.freshangleng.com",52429,52429,47082,5347,5347
"www.freshfactsonlinenews.net",9107,9680,273412,-264305,-263732
"www.frontiersnews.com",188677,188956,6581110,-6392433,-6392154
"www.frontpageafricaonline.com",193383,172711,193718,-335,-21007
"www.gabonactu.com",213159,212878,3154958,-2941799,-2942080
"www.gaboneco.com",58361,58361,144915,-86554,-86554
"www.gabonlibre.com",168463,168463,833103,-664640,-664640
"www.gabzfm.com",1723,1723,6722,-4999,-4999
"www.galaxytvonline.com",39038,39278,447557,-408519,-408279
"www.garoweonline.com",119188,119188,7054308,-6935120,-6935120
"www.gaznot.com",57707,57217,779120,-721413,-721903
"www.gbcghana.com",43610,43610,45189,-1579,-1579
"www.gbich.com",51389,51585,213590,-162201,-162005
"www.gbissau.com",39683,139934,261700,-222017,-121766
"www.gbn.co.za",66048,65900,446761,-380713,-380861
"www.georgeherald.com",249406,332213,1122248,-872842,-790035
"www.ghana.gov.gh",41150,41150,203635,-162485,-162485
"www.ghanabusinessnews.com",70997,70774,6775030,-6704033,-6704256
"www.ghanadot.com",53274,53274,99467,-46193,-46193
"www.ghanaiantimes.com.gh",102880,102880,9536477,-9433597,-9433597
"www.ghanamma.com",202531,203712,2388015,-2185484,-2184303
"www.ghananewsagency.org",60548,37463,318503,-257955,-281040
"www.ghanasoccernet.com",65422,89295,266303,-200881,-177008
"www.ghanatoday.com",82573,82573,66755,15818,15818
"www.ghanavoice.com",13866,13866,185198,-171332,-171332
"www.ghanaweb.com",47334,27466,2058783,-2011449,-2031317
"www.gnet.tn",99706,99706,148464,-48758,-48758
"www.golfemediaonline.com",43732,43732,820720,-776988,-776988
"www.gossipnigeria.com",54201,146545,259254,-205053,-112709
"www.greytown.co.za",64189,64189,526316,-462127,-462127
"www.grocotts.co.za",164573,164573,6079603,-5915030,-5915030
"www.groupelavenir.org",101259,100399,6154666,-6053407,-6054267
"www.grts.gm",86143,86143,1518774,-1432631,-1432631
"www.guinee360.com",118919,118919,552598,-433679,-433679
"www.guinee7.com",54755,300016,571826,-517071,-271810
"www.guineepresse.info",84525,84525,50736,33789,33789
"www.gurtong.net",193420,193264,1771019,-1577599,-1577755
"www.habarileo.co.tz",131093,130735,51203,79890,79532
"www.habarizacomores.com",808549,808410,1136184,-327635,-327774
"www.hallmarknews.com",61854,61854,1169320,-1107466,-1107466
"www.harare24.com",18197,57136,266919,-248722,-209783
"www.hararenews.co.zw",300485,300485,847453,-546968,-546968
"www.hebdoimmobilier-dz.com",73333,73333,868,72465,72465
"www.heidelbergnigelheraut.co.za",103914,287448,2004711,-1900797,-1717263
"www.herald.co.zw",154877,154877,1427630,-1272753,-1272753
"www.heraldlive.co.za",238975,238975,1427842,-1188867,-1188867
"www.hermanustimes.co.za",59441,145420,789358,-729917,-643938
"www.hiiraan.com",83092,83092,594142,-511050,-511050
"www.homeviewsenegal.com",245942,246817,1444001,-1198059,-1197184
"www.huhuonline.com",220934,220934,8183,212751,212751
"www.ibinda.com",26096,26096,8600,17496,17496
"www.icibenin.com",149208,149208,3084885,-2935677,-2935677
"www.icilome.com",77282,168450,1562630,-1485348,-1394180
"www.igfm.sn",102580,102580,1459586,-1357006,-1357006
"www.ilanganews.co.za",65261,65261,418859,-353598,-353598
"www.ilorin.info",27372,27345,98743,-71371,-71398
"www.imatin.net",154889,241878,2514413,-2359524,-2272535
"www.imostateblog.com",66038,66038,989968,-923930,-923930
"www.imotrumpeta.com",51748,51748,799376,-747628,-747628
"www.impact24.info",123860,123860,794141,-670281,-670281
"www.independent.co.ug",99094,99094,5420564,-5321470,-5321470
"www.indepthnigeria.com",9030,9609,273431,-264401,-263822
"www.infoconstantine.com",2884,2856,273431,-270547,-270575
"www.infoghana.info",79973,79973,583467,-503494,-503494
"www.infoguinee.com",72143,72140,536565,-464422,-464425
"www.infonigeria.net",16343,27517,9329,7014,18188
"www.informante.web.na",313101,313101,397359,-84258,-84258
"www.informationng.com",107312,109888,2484477,-2377165,-2374589
"www.informativenews.co.ls",96333,96333,7829993,-7733660,-7733660
"www.infosplusgabon.com",42623,42460,111777,-69154,-69317
"www.infotunisie.com",49180,49180,718743,-669563,-669563
"www.insiderzim.com",48838,48838,150564,-101726,-101726
"www.iol.co.za",437012,437012,382029,54983,54983
"www.ionigeria.com",109703,109703,2313891,-2204188,-2204188
"www.ipreunion.com",101410,101410,303723,-202313,-202313
"www.iq4news.com",215941,215939,349209,-133268,-133270
"www.isanganiro.org",28147,28147,81403,-53256,-53256
"www.ivoireactu.net",68777,68777,93868,-25091,-25091
"www.ivoirediaspo.net",86410,86412,1057964,-971554,-971552
"www.iwacu-burundi.org",108691,108691,2310525,-2201834,-2201834
"www.jadidpresse.com",5006,5006,49,4957,4957
"www.jamana.org",28200,28200,170,28030,28030
"www.jbaynews.com",140616,140616,618101,-477485,-477485
"www.jeberti.com",109480,109480,548981,-439501,-439501
"www.jeune-independant.net",127623,127623,413990,-286367,-286367
"www.jijel-echo.com",1510177,1510190,427744,1082433,1082446
"www.jijel.info",77638,77638,1651486,-1573848,-1573848
"www.jollofnews.com",112100,112613,822709,-710609,-710096
"www.jornalnoticias.co.mz",89475,89475,470611,-381136,-381136
"www.journal-adjinakou-benin.info",39083,39083,1314638,-1275555,-1275555
"www.journaldebangui.com",82267,82267,350584,-268317,-268317
"www.journaldebrazza.com",200319,200319,2051275,-1850956,-1850956
"www.journalducameroun.com",236453,236453,1611711,-1375258,-1375258
"www.journaldusport.ma",161210,161207,762405,-601195,-601198
"www.journaldutchad.com",79433,79433,484487,-405054,-405054
"www.kababachir.com",463125,463124,897283,-434158,-434159
"www.kabyle.com",53474,53804,86168,-32694,-32364
"www.kapital971.com",72820,74616,2622031,-2549211,-2547415
"www.kawalisse.com",88045,88045,97869,-9824,-9824
"www.kawowo.com",125302,125302,1947449,-1822147,-1822147
"www.kbc.co.ke",271947,271947,2137361,-1865414,-1865414
"www.kbn.co.za",46778,46913,431559,-384781,-384646
"www.kenya-today.com",45442,56629,1784898,-1739456,-1728269
"www.kenyamoja.com",266457,266020,488937,-222480,-222917
"www.kenyan-post.com",123096,123097,632251,-509155,-509154
"www.kitwetimes.com",52212,52212,1032219,-980007,-980007
"www.kivumedia.com",234153,234153,1793116,-1558963,-1558963
"www.koerant.co.za",102352,102352,1424735,-1322383,-1322383
"www.kormorant.co.za",103327,278356,1159393,-1056066,-881037
"www.kougaexpress.co.za",58914,109904,171965,-113051,-62061
"www.ktvsl.com",78729,78515,1545343,-1466614,-1466828
"www.kwaranews.com",41006,89146,287194,-246188,-198048
"www.kwayedza.co.zw",61389,61389,804198,-742809,-742809
"www.kwevoel.co.za",153995,153995,2147330,-1993335,-1993335
"www.laconscience.com",41167,41167,448346,-407179,-407179
"www.lactualite-dz.info",6879,6591,362081,-355202,-355490
"www.ladepechedabidjan.info",144692,143720,1916969,-1772277,-1773249
"www.lagachettedumaroc.com",9203,9210,197330,-188127,-188120
"www.lagazette-dgi.com",42192,42192,815377,-773185,-773185
"www.lanation.mg",31941,31941,359329,-327388,-327388
"www.lanationbenin.info",116489,116486,154192,-37703,-37706
"www.lanationdj.com",59529,59529,301308,-241779,-241779
"www.lanouvellecentrafrique.info",301264,301264,808025,-506761,-506761
"www.lanouvelleexpression.info",116533,116920,135774,-19241,-18854
"www.lanouvelletribune.info",233001,232569,1062713,-829712,-830144
"www.lapresse.tn",55540,55540,234812,-179272,-179272
"www.lapressedujour.net",26237,46712,218756,-192519,-172044
"www.laprosperiteonline.net",196018,196018,1172468,-976450,-976450
"www.laraignee.org",89847,89847,1861242,-1771395,-1771395
"www.lasemaineafricaine.net",48576,48670,2223300,-2174724,-2174630
"www.latestnigeriannews.com",126114,243403,365873,-239759,-122470
"www.lauthentic.info",62788,62788,2189,60599,60599
"www.lautomarche.com",147774,147774,3324781,-3177007,-3177007
"www.laverite.mg",126755,126755,1308321,-1181566,-1181566
"www.lavieeco.com",58984,168277,245186,-186202,-76909
"www.leaders.com.tn",65613,65613,43,65570,65570
"www.lebuteur.com",98038,98978,1408243,-1310205,-1309265
"www.lecalame.info",19630,19630,324240,-304610,-304610
"www.leconomiste.com",101958,101958,6653996,-6552038,-6552038
"www.leconomistemaghrebin.com",112095,120307,621788,-509693,-501481
"www.leffortcamerounais.com",143552,142498,1951210,-1807658,-1808712
"www.leffortcamerounais.info",122872,122045,1098774,-975902,-976729
"www.lejourdalgerie.com",55610,55610,38011,17599,17599
"www.lejourguinee.com",272108,272108,147322,124786,124786
"www.lemaghreb.tn",167528,167529,203460,-35932,-35931
"www.lematin.ma",87504,72600,2086617,-1999113,-2014017
"www.lematinal.com",295,295,330010,-329715,-329715
"www.lematindz.net",78379,78379,158616,-80237,-80237
"www.lemauricien.com",349924,349924,3201297,-2851373,-2851373
"www.lemidi-dz.com",53868,53868,-1,53869,53869
"www.lenasia-times.co.za",14386,14386,126348,-111962,-111962
"www.lenouveaureveil.com",14759,14759,55423,-40664,-40664
"www.lenzinfo.co.za",65735,66625,892377,-826642,-825752
"www.lepatriote.net",59131,59131,836,58295,58295
"www.lepetitjournal.com",701946,701946,7187231,-6485285,-6485285
"www.lephareonline.net",46424,112835,667973,-621549,-555138
"www.lepotentielonline.com",317552,317552,743536,-425984,-425984
"www.lequotidien-oran.com",55689,55689,47418,8271,8271
"www.lequotidien.sn",236478,236273,1129317,-892839,-893044
"www.leral.net",131442,131454,5771390,-5639948,-5639936
"www.lereporter.ma",147441,148660,2373563,-2226122,-2224903
"www.les4verites.info",54603,54603,234824,-180221,-180221
"www.lesdepechesdebrazzaville.fr",49086,49086,2866574,-2817488,-2817488
"www.leseco.ma",298844,298844,195897,102947,102947
"www.lesnouvelles.org",63357,20084,330010,-266653,-309926
"www.lesoftonline.net",44100,44484,757872,-713772,-713388
"www.lesoirdalgerie.com",26048,26048,22678,3370,3370
"www.lesoleil.sn",349936,349936,327905,22031,22031
"www.lestrepublicain.com",138119,138119,344486,-206367,-206367
"www.letemps.com.tn",65543,65543,655096,-589553,-589553
"www.letempsdz.com",144918,144294,64367,80551,79927
"www.leuksenegal.com",36103,460745,199846,-163743,260899
"www.lexpertjournal.net",73256,73256,2047435,-1974179,-1974179
"www.lexpress.mu",281146,281146,4678332,-4397186,-4397186
"www.lexpressmada.com",78867,78867,1404463,-1325596,-1325596
"www.libe.ma",25035,97360,752367,-727332,-655007
"www.liberian-connection.net",13845,13845,119245,-105400,-105400
"www.liberianforum.com",51,51,9878,-9827,-9827
"www.liberte-algerie.com",90877,90877,548241,-457364,-457364
"www.libya-businessnews.com",55122,55119,1973182,-1918060,-1918063
"www.libya-today.com",204388,204354,1777340,-1572952,-1572986
"www.libyanewstoday.com",68893,68893,610766,-541873,-541873
"www.linfodrome.com",308479,314121,554119,-245640,-239998
"www.livenewsalgerie.com",106143,106143,1241167,-1135024,-1135024
"www.lnr-dz.com",44367,44367,1839899,-1795532,-1795532
"www.lobservateur.bf",70408,71679,833782,-763374,-762103
"www.lobservateur.cd",17745,17745,192186,-174441,-174441
"www.lomecite.com",42936,42936,1823771,-1780835,-1780835
"www.lomeinfos.com",74447,73342,2168714,-2094267,-2095372
"www.ltv.ly",73841,73841,2157879,-2084038,-2084038
"www.lusakatimes.com",267029,222794,1027638,-760609,-804844
"www.mada.pro",57005,57005,488,56517,56517
"www.madagascar-tribune.com",76642,76642,4748,71894,71894
"www.madagate.com",43178,43178,170147,-126969,-126969
"www.madamasr.com",45469,161869,347690,-302221,-185821
"www.madonline.com",63723,63723,353579,-289856,-289856
"www.magazetini.com",42970,42742,44456,-1486,-1714
"www.malango-actualite.fr",11313,11313,179710,-168397,-168397
"www.malawianwatchdog.com",258809,258809,1613690,-1354881,-1354881
"www.malawivoice.com",118890,118890,1468959,-1350069,-1350069
"www.maledatimes.com",69559,88439,745131,-675572,-656692
"www.malijet.com",389427,389427,3149411,-2759984,-2759984
"www.maliweb.net",605109,605109,10496362,-9891253,-9891253
"www.manaonline.gov.mw",95804,95804,39542,56262,56262
"www.mapnews.ma",98666,98666,721456,-622790,-622790
"www.maroc-hebdo.press.ma",128534,128534,1901351,-1772817,-1772817
"www.marocpress.com",126816,126816,1086081,-959265,-959265
"www.masralarabia.com",145474,345959,4001335,-3855861,-3655376
"www.masvingomirror.com",286436,310202,308297,-21861,1905
"www.mayotte-observer.com",1149,27893,9329,-8180,18564
"www.mayottehebdo.com",42353,42353,5004528,-4962175,-4962175
"www.mbc.mw",97677,97009,1607402,-1509725,-1510393
"www.medi1.com",623862,623862,895059,-271197,-271197
"www.mediacentre.go.ug",58713,58713,811917,-753204,-753204
"www.mediacongo.net",64079,64430,129859,-65780,-65429
"www.mediaguinee.net",519374,519382,7093425,-6574051,-6574043
"www.mediamaxnetwork.co.ke",199665,185358,1520624,-1320959,-1335266
"www.medianigeria.com",44965,44965,788733,-743768,-743768
"www.menara.ma",119384,119384,519020,-399636,-399636
"www.mercado.co.ao",62042,62042,737625,-675583,-675583
"www.meskerem.net",71057,71057,499062,-428005,-428005
"www.metroworld.tv",18201,18201,1129396,-1111195,-1111195
"www.midi-madagasikara.mg",77898,77898,1192887,-1114989,-1114989
"www.miningnewszambia.com",93983,93983,1771019,-1677036,-1677036
"www.mmo.co.mz",146486,146486,1480768,-1334282,-1334282
"www.modernghana.com",71021,80823,221566,-150545,-140743
"www.monitor.co.ug",107965,107965,58189,49776,49776
"www.moov.mg",67233,67337,511463,-444230,-444126
"www.moroccobusinessnews.com",1486,1486,79917,-78431,-78431
"www.moroccomirror.com",63530,20673,330010,-266480,-309337
"www.moroccoworldnews.com",613606,613606,1791141,-1177535,-1177535
"www.mostaganem-aujourdhui.com",44930,44930,1488907,-1443977,-1443977
"www.muvitv.com",33883,231791,1986203,-1952320,-1754412
"www.mw",73619,73619,558675,-485056,-485056
"www.mwanahalisi.co.tz",35637,35637,25273,10364,10364
"www.mwananchi.co.tz",102611,102611,266687,-164076,-164076
"www.mwanaspoti.co.tz",84868,84868,276953,-192085,-192085
"www.mwebantu.news",270279,270279,421295,-151016,-151016
"www.mwnation.com",90356,90356,1247317,-1156961,-1156961
"www.mybulawayo.com",65409,65409,685532,-620123,-620123
"www.mydailynewswatchng.com",168408,168408,1217179,-1048771,-1048771
"www.myjoyonline.com",395888,385305,2574422,-2178534,-2189117
"www.mylbsonline.net",18165,18097,275520,-257355,-257423
"www.myzimbabwe.co.zw",239725,240369,1080757,-841032,-840388
"www.naij.com",117578,115564,790708,-673130,-675144
"www.naijalately.com",277,277,481709,-481432,-481432
"www.naijaleaks.org",63043,69922,329991,-266948,-260069
"www.nairaland.com",23936,24472,43835,-19899,-19363
"www.nairobigossips.com",42658,203547,224194,-181536,-20647
"www.namibian.com.na",108503,108503,815115,-706612,-706612
"www.namibtimes.net",42697,42697,1979198,-1936501,-1936501
"www.nampa.org",28299,28311,646276,-617977,-617965
"www.nan.ng",315284,315231,2529491,-2214207,-2214260
"www.nation.co.ke",94805,94807,461436,-366631,-366629
"www.nation.sc",34778,34778,362192,-327414,-327414
"www.nationalaccordnewspaper.com",610316,610316,3851799,-3241483,-3241483
"www.nationaldailyng.com",412511,412993,13233464,-12820953,-12820471
"www.nationalnetworkonline.com",44343,44343,72174,-27831,-27831
"www.nazret.com",276937,276994,2538261,-2261324,-2261267
"www.nbc.na",49981,49981,1657079,-1607098,-1607098
"www.netpress.bi",201855,201855,98631,103224,103224
"www.netwerk24.com",169058,263193,12804973,-12635915,-12541780
"www.newbusinessethiopia.com",164173,164173,1043834,-879661,-879661
"www.newera.com.na",304647,304647,1810756,-1506109,-1506109
"www.newpressphoto.com",20481,20481,765182,-744701,-744701
"www.news.co.za",38848,38848,3663761,-3624913,-3624913
"www.news24.co.ke",141937,92074,179885,-37948,-87811
"www.news24.com",141949,274962,179885,-37936,95077
"www.news24.com.ng",63756,192294,171965,-108209,20329
"www.news247.com.ng",22576,29169,272861,-250285,-243692
"www.newsday.co.zw",200035,201676,2258819,-2058784,-2057143
"www.newsday.com.ng",91943,91814,1084560,-992617,-992746
"www.newsdirectonline.com",60792,60792,869540,-808748,-808748
"www.newsdzezimbabwe.co.uk",43732,207191,215441,-171709,-8250
"www.newsexpressngr.com",99943,99943,14351,85592,85592
"www.newsghana.com.gh",227736,229041,1641536,-1413800,-1412495
"www.newsjournal.com.ng",38421,306907,2620266,-2581845,-2313359
"www.newsmada.com",99442,99442,1912650,-1813208,-1813208
"www.newsng.com",88336,95622,1000029,-911693,-904407
"www.newsofrwanda.com",60956,60956,386597,-325641,-325641
"www.newsudanvision.com",33414,33414,115396,-81982,-81982
"www.newtimes.co.rw",49604,49604,44151,5453,5453
"www.newvision.co.ug",133454,133454,926222,-792768,-792768
"www.newzimbabwe.com",113572,113572,214253,-100681,-100681
"www.ngamitimes.com",74804,74804,93636,-18832,-18832
"www.nifahamishe.com",79276,79276,98258,-18982,-18982
"www.nigerdeltastandard.com",5176,1137,361154,-355978,-360017
"www.nigeria-news-world.com",126271,195590,481817,-355546,-286227
"www.nigeria70.com",64831,64831,165489,-100658,-100658
"www.nigeriahornnewspapers.com",63330,307,330010,-266680,-329703
"www.nigeriancurrent.com",90742,90742,1415535,-1324793,-1324793
"www.nigerianewsday.com",143958,143958,1750846,-1606888,-1606888
"www.nigerianeye.com",294698,293660,1602180,-1307482,-1308520
"www.nigerianmonitor.com",80635,80635,3844053,-3763418,-3763418
"www.nigeriannews.com",2345,2345,11958,-9613,-9613
"www.nigerianobservernews.com",217755,217587,1249708,-1031953,-1032121
"www.nigerianorientnews.com",63209,70090,329991,-266782,-259901
"www.nigeriapolitico.net",9014,9628,273412,-264398,-263784
"www.nigeriasun.com",22595,22595,987119,-964524,-964524
"www.nigeriavillagesquare.com",166104,167258,954372,-788268,-787114
"www.nigeriaworld.com",50992,50992,213172,-162180,-162180
"www.niletc.tv",145052,145052,177878,-32826,-32826
"www.nlsguinee.com",305718,305718,5797,299921,299921
"www.noseweek.co.za",10182,48750,316886,-306704,-268136
"www.notrevoie.com",35495,35495,6800,28695,28695
"www.novojornal.co.ao",243873,243873,644317,-400444,-400444
"www.nrgui.com",126639,126639,2484786,-2358147,-2358147
"www.ntalagoschannel10.net",5351,5351,179059,-173708,-173708
"www.ntanews24.tv",8983,9562,273431,-264448,-263869
"www.ntv.co.ug",115525,115525,1234378,-1118853,-1118853
"www.nyasatimes.com",191569,142226,1693580,-1502011,-1551354
"www.observer.co.za",111304,111304,1509712,-1398408,-1398408
"www.observer.org.sz",37763,37746,151929,-114166,-114183
"www.observer.ug",54975,54975,672910,-617935,-617935
"www.odili.net",5255,5255,235871,-230616,-230616
"www.ofm.co.za",270157,270157,1548386,-1278229,-1278229
"www.ogtv.com.ng",86655,85682,1518124,-1431469,-1432442
"www.ogunradio.com",55816,55816,1456112,-1400296,-1400296
"www.ondoevents.com",200814,217092,2994220,-2793406,-2777128
"www.ondonews.com",1149,27081,9329,-8180,17752
"www.openzambia.com",25092,64493,1380335,-1355243,-1315842
"www.opinionnigeria.com",162571,162592,1525758,-1363187,-1363166
"www.orakonews.com",36221,185925,449725,-413504,-263800
"www.oran-aps.dz",37230,37230,12256,24974,24974
"www.oranais.com",146272,146229,5523836,-5377564,-5377607
"www.ortb.info",60598,60598,1755052,-1694454,-1694454
"www.ortm-mali.tv",18096,18028,362100,-344004,-344072
"www.osundefender.org",74121,74121,3001245,-2927124,-2927124
"www.ouargla-aps.dz",39647,39647,12256,27391,27391
"www.ouarsenis.com",109423,109423,1293119,-1183696,-1183696
"www.ouestribune-dz.com",96914,96914,1090419,-993505,-993505
"www.oujdacity.net",156154,156138,9149285,-8993131,-8993147
"www.paarlpost.co.za",55748,146430,785262,-729514,-638832
"www.palmtreereports.com",16368,27482,9329,7039,18153
"www.pe-express.co.za",61008,112365,171965,-110957,-59600
"www.peacefmonline.com",365,92779,38536,-38171,54243
"www.peoplesdailyng.com",77862,77862,549191,-471329,-471329
"www.peoplespost.co.za",59391,110036,171965,-112574,-61929
"www.persecondnews.com",149440,150472,1381885,-1232445,-1231413
"www.pgzambia.com",32308,32308,532388,-500080,-500080
"www.ph-microscope.com",92879,92589,5317609,-5224730,-5225020
"www.planetesport.dz",47606,47606,107550,-59944,-59944
"www.pmbfever.co.za",60010,110773,171965,-111955,-61192
"www.pmnewsnigeria.com",259286,259286,3897919,-3638633,-3638633
"www.politicsweb.co.za",38536,38536,4240,34296,34296
