"domain",mobile_page_size,desktop_page_size,objects_total,diff_mobile,diff_desktop
"guinea-forum.org",31191,59931,1454698,-1423507,-1394767
"guineeactu.info",59469,59380,180348,-120879,-120968
"guineenews.org",298946,300097,6281794,-5982848,-5981697
"haatuf.net",48614,48614,1441105,-1392491,-1392491
"happyghana.com",73458,72205,5221616,-5148158,-5149411
"hebdo.ahram.org.eg",104865,104865,319351,-214486,-214486
"heritageliberia.net",7597,7597,103962,-96365,-96365
"highwaymail.co.za",110918,283497,1356929,-1246011,-1073432
"hmetro.co.zw",90957,90957,779196,-688239,-688239
"iharare.com",132265,135481,1253042,-1120777,-1117561
"imvahonshya.co.rw",92360,92360,13939456,-13847096,-13847096
"ireports-ng.com",202882,202882,1387951,-1185069,-1185069
"isoexpress.co.za",61008,112472,176475,-115467,-64003
"itvradionigeria.com",185038,185038,3403268,-3218230,-3218230
"jamboleonews.blogspot.com",22250,19080,172131,-149881,-153051
"joburgeastexpress.co.za",110677,280935,1246235,-1135558,-965300
"jornaldeangola.sapo.ao",78560,78558,1054259,-975699,-975701
"jornaldeeconomia.sapo.ao",2599,36787,79213,-76614,-42426
"jornaldosdesportos.sapo.ao",2575,57124,56370,-53795,754
"jornalf8.net",166282,166282,2873393,-2707111,-2707111
"journal.rdpcpdm.cm",275662,275662,2028082,-1752420,-1752420
"kabyleuniversel.com",248344,248344,607079,-358735,-358735
"kampalasun.co.ug",164250,164250,2053671,-1889421,-1889421
"kemptonexpress.co.za",109070,294861,1540193,-1431123,-1245332
"kfm.co.ug",20899,20899,268247,-247348,-247348
"krugersdorpnews.co.za",109238,291021,1502262,-1393024,-1211241
"kumasimail.com",826,826,1404,-578,-578
"kwekwebiz.com",155208,155208,2241287,-2086079,-2086079
"ladysmithgazette.co.za",108248,278671,2768090,-2659842,-2489419
"laghouatinfo.net",107078,892554,600701,-493623,291853
"lalternative-togo.com",63121,70002,329991,-266870,-259989
"landbou.com",74129,115110,483751,-409622,-368641
"latribunedelacapitale.com",161417,161417,270727,-109310,-109310
"lautrefraternite.com",87065,87583,287024,-199959,-199441
"lavoixdesidibelabbes.info",109740,109740,1120335,-1010595,-1010595
"leadership.ng",234466,234466,370275,-135809,-135809
"leboncoin.nu",90502,90502,876587,-786085,-786085
"lechiffredaffaires.net",102207,102207,244440,-142233,-142233
"lecitoyendz.com",56933,56933,146671,-89738,-89738
"lecombat.info",56241,56241,244882,-188641,-188641
"leconfrere.info",69559,69559,12093,57466,57466
"lecourrier-dalgerie.com",120623,121098,930343,-809720,-809245
"ledaily.mg",101837,101837,1074962,-973125,-973125
"lefaso.net",105999,105999,1441261,-1335262,-1335262
"lejournaldaffaire.com",76844,76838,1933054,-1856210,-1856216
"lejournaldemayotte.com",45081,103745,1009167,-964086,-905422
"lelynx.net",48726,48726,86253,-37527,-37527
"lepays.bf",374181,257050,25688673,-25314492,-25431623
"lequotidienalgerie.org",168206,168206,1012966,-844760,-844760
"lestimes.com",266190,266194,17923081,-17656891,-17656887
"letempstg.com",152608,733375,2505648,-2353040,-1772273
"levenementprecis.com",143440,143440,1027614,-884174,-884174
"lexpressguinee.com",82988,82988,2331033,-2248045,-2248045
"liberal.sapo.cv",294074,294074,15073197,-14779123,-14779123
"lindaikeji.blogspot.com",91324,171019,469504,-378180,-298485
"lnt.ma",47711,50832,2172017,-2124306,-2121185
"lobservateurdumaroc.info",140869,140869,2065431,-1924562,-1924562
"lowvelder.co.za",118074,289122,1555978,-1437904,-1266856
"lusakastar.com",105056,105056,2562544,-2457488,-2457488
"lusakavoice.com",154648,154598,860505,-705857,-705907
"majira-hall.blogspot.com",85006,85007,724086,-639080,-639079
"malawi24.com",33181,60514,58869,-25688,1645
"malawiana.net",176625,175655,754984,-578359,-579329
"malawilive.com",23753,23265,9329,14424,13936
"maliactu.net",130003,130000,1222989,-1092986,-1092989
"manicapost.co.zw",206176,208569,1068473,-862297,-859904
"maravi.blogspot.com",49383,261270,173556,-124173,87714
"maritzburgsun.co.za",110808,275624,1585280,-1474472,-1309656
"marocpress.ma",143775,144145,2289854,-2146079,-2145709
"mauritiustimes.com",77015,77015,1398425,-1321410,-1321410
"mayotte.la1ere.fr",203204,203204,3925191,-3721987,-3721987
"mbc.intnet.mu",110276,110276,2984342,-2874066,-2874066
"mediamaxnetwork.co.ke",197038,184153,1661865,-1464827,-1477712
"mg.co.za",158182,165344,3383351,-3225169,-3218007
"midrandreporter.co.za",108328,307085,1280987,-1172659,-973902
"monroviainquirer.com",134850,134850,1552472,-1417622,-1417622
"moroccantimes.com",16181,27096,9329,6852,17767
"moroccomedia.com",74403,74403,552639,-478236,-478236
"mtanzania.co.tz",77564,77565,766135,-688571,-688570
"mthathaexpress.co.za",61008,112474,176475,-115467,-64001
"mubasher-misr.aljazeera.net",120469,120469,97602,22867,22867
"mutationsbf.net",2424,293,330010,-327586,-329717
"mzalendo.net",96814,96742,1279118,-1182304,-1182376
"naijabizcom.com",58683,58683,866758,-808075,-808075
"nationalmirroronline.net",58417,68071,542296,-483879,-474225
"nbs.ug",211969,211969,2101143,-1889174,-1889174
"nehandaradio.com",177984,177037,1524020,-1346036,-1346983
"nehandatv.com",88381,88401,443610,-355229,-355209
"new.elfagr.org",124242,124242,17742,106500,106500
"newcastleadvertiser.co.za",110744,288589,1525753,-1415009,-1237164
"newctzen.com",62872,69751,330010,-267138,-260259
"newmail-ng.com",267409,267409,2246154,-1978745,-1978745
"news.aniamey.com",95470,95470,935149,-839679,-839679
"news.bestnaira.com",20327,20623,55103,-34776,-34480
"news.google.com",7637436,14494217,602914,7034522,13891303
"news.maraviexpress.com",154743,154743,8180068,-8025325,-8025325
"news.sudanvisiondaily.com",6907,6371,362100,-355193,-355729
"newsdiaryonline.com",289548,289548,2677519,-2387971,-2387971
"newsducamer.com",198100,172855,148498,49602,24357
"newsinvestigatorsng.com",88093,88093,1125949,-1037856,-1037856
"newslexpoint.com",366603,368540,7660293,-7293690,-7291753
"newsly.ma",38216,38216,547139,-508923,-508923
"newsofthesouth.com",69050,69050,618706,-549656,-549656
"newsvyb.com",10531,10531,134822,-124291,-124291
"newzimbabwevision.com",70266,70266,1389506,-1319240,-1319240
"ngex.com",85980,85829,285306,-199326,-199477
"nhasimugweru.blogspot.com",43152,125619,209515,-166363,-83896
"nigerdiaspora.net",224009,224009,4543436,-4319427,-4319427
"nigeriaindependent.com",27401,27401,737677,-710276,-710276
"nigerianbeacon.com",205008,203381,2206711,-2001703,-2003330
"nigerianinquirer.com",10595,11020,272664,-262069,-261644
"nigeriantimes.ng",155596,207051,2553650,-2398054,-2346599
"nigeriapoliticsonline.com",203044,203216,4747665,-4544621,-4544449
"nigeriastandardnewspaper.com",586129,586128,2036127,-1449998,-1449999
"northcliffmelvilletimes.co.za",128907,294438,1492522,-1363615,-1198084
"northeasterntribune.co.za",109779,294245,1279225,-1169446,-984980
"northglennews.co.za",109408,288856,1843437,-1734029,-1554581
"noticiasdonorte.publ.cv",64739,64739,7633969,-7569230,-7569230
"novagazeta.co.ao",21726,21726,446578,-424852,-424852
"ntv.nation.co.ke",39547,39547,281211,-241664,-241664
"observer24.com.na",86592,86592,446242,-359650,-359650
"ogavendor.com",80132,100955,424837,-344705,-323882
"ontveg.com",320487,320326,7034599,-6714112,-6714273
"opais.co.ao",85492,85494,3267660,-3182168,-3182166
"ouest-info.org",134628,134628,28856,105772,105772
"patsakacommunityradio.org",97975,97942,1392362,-1294387,-1294420
"plentynews.com",1442,1442,103007,-101565,-101565
"pointblanknews.com",104899,104899,725683,-620784,-620784
"politicosl.com",67031,67031,930512,-863481,-863481
"polokwaneexpress.co.za",101593,271022,1454670,-1353077,-1183648
"ppbdi.com",123230,122675,1346196,-1222966,-1223521
"pulse.ng",107860,146404,439623,-331763,-293219
"puntlandi.com",145782,145782,1170689,-1024907,-1024907
"puntlandnews24.com",103046,103046,478239,-375193,-375193
"quotidienlemessager.net",16485,27404,9329,7156,18075
"radiodemocracy.sl",97259,97259,13540577,-13443318,-13443318
"radiodespertarangola.net",114346,114346,659564,-545218,-545218
"radiookapi.net",61782,111495,1290152,-1228370,-1178657
"radioonefm90.com",44528,44528,1597110,-1552582,-1552582
"randburgsun.co.za",108373,282377,1503816,-1395443,-1221439
"rasd.tv",22309,26146,201342,-179033,-175196
"realnewsmagazine.net",110083,110083,3785353,-3675270,-3675270
"rekordcenturion.co.za",123331,284396,1742920,-1619589,-1458524
"rekordeast.co.za",109838,300597,1793546,-1683708,-1492949
"reporters365.com",257995,257995,2910559,-2652564,-2652564
"reunion.la1ere.fr",151869,151869,4569134,-4417265,-4417265
"risingsunchatsworth.co.za",113047,287730,3261983,-3148936,-2974253
"royaltimes.net",78487,77960,666218,-587731,-588258
"rwandawire.com",37271,37271,280025,-242754,-242754
"saharaoccidental.blogspot.com",37970,93675,212395,-174425,-118720
"saharareporters.com",175135,159861,1310947,-1135812,-1151086
"salonepost.com",11652,11652,3530,8122,8122
"sandtonchronicle.co.za",125782,296680,1398057,-1272275,-1101377
"sandtonmag.co.za",48790,48790,368851,-320061,-320061
"sawt-alahrar.net",3335,873,17915,-14580,-17042
"sawtdjelfa.com",47209,164882,482655,-435446,-317773
"scannewsnigeria.com",89664,89664,739918,-650254,-650254
"sedibengster.com",63248,183572,598332,-535084,-414760
"senego.com",125606,125976,3475080,-3349474,-3349104
