"domain","cc","object_domain","object_loc_cc","cdn_domain"
"www.news24.co.ke","KE","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.news24.co.ke","KE","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.news24.com","ZA","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.news24.com","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.news24.com.ng","NG","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.news24.com.ng","NG","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.newsday.co.zw","ZW","img.youtube.com","US-CA","youtube."
"www.newsday.com.ng","NG","i1.wp.com","US-CA","wp.com"
"www.newsday.com.ng","NG","s0.wp.com","US-CA","wp.com"
"www.newsday.com.ng","NG","i0.wp.com","US-CA","wp.com"
"www.newsday.com.ng","NG","i2.wp.com","US-CA","wp.com"
"www.newsday.com.ng","NG","stats.wp.com","US-CA","wp.com"
"www.newsday.com.ng","NG","s.gravatar.com","US-CA","gravatar.com"
"www.newsdirectonline.com","NG","i0.wp.com","US-CA","wp.com"
"www.newsdirectonline.com","NG","i1.wp.com","US-CA","wp.com"
"www.newsdirectonline.com","NG","stats.wp.com","US-CA","wp.com"
"www.newsdirectonline.com","NG","s.gravatar.com","US-CA","gravatar.com"
"www.newsdirectonline.com","NG","i2.wp.com","US-CA","wp.com"
"www.newsdirectonline.com","NG","s0.wp.com","US-CA","wp.com"
"www.newsdzezimbabwe.co.uk","ZW","apis.google.com","US-CA","google."
"www.newsghana.com.gh","GH","s0.wp.com","US-CA","wp.com"
"www.newsghana.com.gh","GH","amp.cloudflare.com","US","cloudflare.com"
"www.newsghana.com.gh","GH","i1.wp.com","US-CA","wp.com"
"www.newsghana.com.gh","GH","i0.wp.com","US-CA","wp.com"
"www.newsghana.com.gh","GH","scontent-dft4-3.cdninstagram.com","US-CA","cdninstagram.com"
"www.newsghana.com.gh","GH","stats.wp.com","US-CA","wp.com"
"www.newsghana.com.gh","GH","secure.gravatar.com","US-CA","gravatar.com"
"www.newsghana.com.gh","GH","i2.wp.com","US-CA","wp.com"
"www.newsng.com","NG","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.newtimes.co.rw","RW","apis.google.com","US-CA","google."
"www.newvision.co.ug","UG","www.facebook.com","IE","facebook.com"
"www.newzimbabwe.com","ZW","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.nifahamishe.com","TZ","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.nigerdeltastandard.com","NG","www.google.com","US-CA","google."
"www.nigeria-news-world.com","NG","amp.cloudflare.com","US","cloudflare.com"
"www.nigeria-news-world.com","NG","apis.google.com","US-CA","google."
"www.nigeria70.com","NG","apis.google.com","US-CA","google."
"www.nigeria70.com","NG","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.nigeriahornnewspapers.com","NG","www.google.com","US-CA","google."
"www.nigerianeye.com","NG","apis.google.com","US-CA","google."
"www.nigerianobservernews.com","NG","stats.wp.com","US-CA","wp.com"
"www.nigerianobservernews.com","NG","2.gravatar.com","US-CA","gravatar.com"
"www.nigerianobservernews.com","NG","s0.wp.com","US-CA","wp.com"
"www.nigerianobservernews.com","NG","0.gravatar.com","US-CA","gravatar.com"
"www.nigerianobservernews.com","NG","1.gravatar.com","US-CA","gravatar.com"
"www.nigerianorientnews.com","NG","www.google.com","US-CA","google."
"www.nigeriapolitico.net","NG","d1lxhc4jvstzrp.cloudfront.net","US-WA","cloudfront.net"
"www.nigeriapolitico.net","NG","www.google.com","US-CA","google."
"www.nigeriasun.com","NG","cdnjs.cloudflare.com","US","cloudflare.com"
"www.nigeriavillagesquare.com","NG","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.nlsguinee.com","GQ","www.facebook.com","IE","facebook.com"
"www.nrgui.com","GQ","scontent-cdt1-1.xx.fbcdn.net","US-CA","fbcdn.net"
"www.nrgui.com","GQ","i1.wp.com","US-CA","wp.com"
"www.nrgui.com","GQ","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.nrgui.com","GQ","i2.wp.com","US-CA","wp.com"
"www.nrgui.com","GQ","img.youtube.com","US-CA","youtube."
"www.nrgui.com","GQ","fb-s-b-a.akamaihd.net","EU","akamaihd.net"
"www.ntanews24.tv","NG","www.google.com","US-CA","google."
"www.ntanews24.tv","NG","d1lxhc4jvstzrp.cloudfront.net","US-WA","cloudfront.net"
"www.nyasatimes.com","MW","3e58xg3iuaa84csjh2769ipd.wpengine.netdna-cdn.com","GB","netdna-cdn.com"
"www.nyasatimes.com","MW","www.google.com","US-CA","google."
"www.nyasatimes.com","MW","ajax.cloudflare.com","US","cloudflare.com"
"www.observer.co.za","ZA","maps.google.com","US-CA","google."
"www.ofm.co.za","ZA","www.facebook.com","IE","facebook.com"
"www.ogtv.com.ng","NG","0.gravatar.com","US-CA","gravatar.com"
"www.ogtv.com.ng","NG","1.gravatar.com","US-CA","gravatar.com"
"www.opinionnigeria.com","NG","s0.wp.com","US-CA","wp.com"
"www.opinionnigeria.com","NG","s.gravatar.com","US-CA","gravatar.com"
"www.opinionnigeria.com","NG","amp.cloudflare.com","US","cloudflare.com"
"www.opinionnigeria.com","NG","i1.wp.com","US-CA","wp.com"
"www.opinionnigeria.com","NG","0.gravatar.com","US-CA","gravatar.com"
"www.opinionnigeria.com","NG","i2.wp.com","US-CA","wp.com"
"www.opinionnigeria.com","NG","2.gravatar.com","US-CA","gravatar.com"
"www.opinionnigeria.com","NG","stats.wp.com","US-CA","wp.com"
"www.opinionnigeria.com","NG","pbs.twimg.com","US-CA","twimg.com"
"www.opinionnigeria.com","NG","apis.google.com","US-CA","google."
"www.opinionnigeria.com","NG","i0.wp.com","US-CA","wp.com"
"www.opinionnigeria.com","NG","1.gravatar.com","US-CA","gravatar.com"
"www.oranais.com","DZ","connect.facebook.net","IE","facebook.net"
"www.ortm-mali.tv","ML","www.google.com","US-CA","google."
"www.osundefender.org","NG","mail.google.com","US-CA","google."
"www.osundefender.org","NG","0.gravatar.com","US-CA","gravatar.com"
"www.ouarsenis.com","DZ","cdnjs.cloudflare.com","US","cloudflare.com"
"www.paarlpost.co.za","ZA","www.facebook.com","IE","facebook.com"
"www.paarlpost.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.pe-express.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.pe-express.co.za","ZA","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.peacefmonline.com","GH","ajax.cloudflare.com","US","cloudflare.com"
"www.peoplespost.co.za","ZA","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.peoplespost.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.pgzambia.com","ZM","cdnjs.cloudflare.com","US","cloudflare.com"
"www.ph-microscope.com","NG","s.gravatar.com","US-CA","gravatar.com"
"www.ph-microscope.com","NG","stats.wp.com","US-CA","wp.com"
"www.ph-microscope.com","NG","s0.wp.com","US-CA","wp.com"
"www.pmbfever.co.za","ZA","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.pmbfever.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.pmnewsnigeria.com","NG","17350-presscdn-0-16-pagely.netdna-ssl.com","GB","netdna-ssl.com"
"www.portalangop.co.ao","AO","img.youtube.com","US-CA","youtube."
"www.postwatchmagazine.com","CM","ajax.cloudflare.com","US","cloudflare.com"
"www.postwatchmagazine.com","CM","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.postwatchmagazine.com","CM","www.google.com","US-CA","google."
"www.potchefstroomherald.co.za","ZA","www.facebook.com","IE","facebook.com"
"www.premiumtimesng.com","NG","i2.wp.com","US-CA","wp.com"
"www.premiumtimesng.com","NG","s0.wp.com","US-CA","wp.com"
"www.premiumtimesng.com","NG","www.facebook.com","IE","facebook.com"
"www.premiumtimesng.com","NG","i1.wp.com","US-CA","wp.com"
"www.premiumtimesng.com","NG","i0.wp.com","US-CA","wp.com"
"www.premiumtimesng.com","NG","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.premiumtimesng.com","NG","stats.wp.com","US-CA","wp.com"
"www.premiumtimesng.com","NG","secure.gravatar.com","US-CA","gravatar.com"
"www.punchng.com","NG","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.puntlandpost.com","SO","stats.wp.com","US-CA","wp.com"
"www.puntlandpost.com","SO","s.gravatar.com","US-CA","gravatar.com"
"www.puntlandpost.com","SO","i0.wp.com","US-CA","wp.com"
"www.puntlandpost.com","SO","s0.wp.com","US-CA","wp.com"
"www.puntlandpost.com","SO","i2.wp.com","US-CA","wp.com"
"www.puntlandpost.com","SO","i1.wp.com","US-CA","wp.com"
"www.qfmzambia.com","ZM","1.gravatar.com","US-CA","gravatar.com"
"www.qfmzambia.com","ZM","0.gravatar.com","US-CA","gravatar.com"
"www.qurynanew.com","LY","www.google.com","US-CA","google."
"www.radiojovem.info","GW","www.google.com","US-CA","google."
"www.radiojovem.info","GW","www.youtube.com","US-CA","youtube."
"www.radiojovem.info","GW","img.youtube.com","US-CA","youtube."
"www.radiomaria.org.zm","ZM","www.google.com","US-CA","google."
"www.radiomuqdisho.net","SO","s0.wp.com","US-CA","wp.com"
"www.radiomuqdisho.net","SO","s.gravatar.com","US-CA","gravatar.com"
"www.radiomuqdisho.net","SO","stats.wp.com","US-CA","wp.com"
"www.radiondekeluka.org","CF","www.google.com","US-CA","google."
"www.radionigeriakaduna.net","NG","www.google.com","US-CA","google."
"www.raiamwema.co.tz","TZ","1.gravatar.com","US-CA","gravatar.com"
"www.rapport.co.za","ZA","www.facebook.com","IE","facebook.com"
"www.rapport.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.rayaam.net","SD","www.google.com","US-CA","google."
"www.realites.com.tn","TN","www.google.com","US-CA","google."
"www.reflexiondz.net","DZ","www.google.fr","US-CA","google."
"www.reporters.dz","DZ","img.youtube.com","US-CA","youtube."
"www.republikein.com.na","NA","cdnjs.cloudflare.com","US","cloudflare.com"
"www.republikein.com.na","NA","ajax.cloudflare.com","US","cloudflare.com"
"www.republikein.com.na","NA","d3rp5jatom3eyn.cloudfront.net","US-WA","cloudfront.net"
"www.risingsunlenasia.co.za","ZA","www.facebook.com","IE","facebook.com"
"www.risingsunlenasia.co.za","ZA","www.google.com","US-CA","google."
"www.rnanews.com","RW","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.rpa.bi","BI","pbs.twimg.com","US-CA","twimg.com"
"www.rtb.bf","BF","stats.wp.com","US-CA","wp.com"
"www.rtb.bf","BF","s.gravatar.com","US-CA","gravatar.com"
"www.rtb.bf","BF","i0.wp.com","US-CA","wp.com"
"www.rtb.bf","BF","s0.wp.com","US-CA","wp.com"
"www.rtb.bf","BF","i2.wp.com","US-CA","wp.com"
"www.rtb.bf","BF","i1.wp.com","US-CA","wp.com"
"www.rtc.cv","CV","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.sabc.co.za","ZA","www.google.com","US-CA","google."
"www.sagoodnews.co.za","ZA","maps.google.com","US-CA","google."
"www.sagoodnews.co.za","ZA","connect.facebook.net","IE","facebook.net"
"www.sagoodnews.co.za","ZA","graph.facebook.com","IE","facebook.com"
"www.saint.fm","SH","www.google.com","US-CA","google."
"www.sainthelena.gov.sh","SH","pbs.twimg.com","US-CA","twimg.com"
"www.sainthelena.gov.sh","SH","stats.wp.com","US-CA","wp.com"
"www.sainthelena.gov.sh","SH","s0.wp.com","US-CA","wp.com"
"www.sake24.com","ZA","www.facebook.com","IE","facebook.com"
"www.sake24.com","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.sen24heures.com","SN","maps.google.com","US-CA","google."
"www.senenews.com","SN","secure.gravatar.com","US-CA","gravatar.com"
"www.senenews.com","SN","stats.wp.com","US-CA","wp.com"
"www.senenews.com","SN","ad.doubleclick.net","US-CA","doubleclick.net"
"www.senenews.com","SN","s0.wp.com","US-CA","wp.com"
"www.seneweb.com","SN","www.google.sn","US-CA","google."
"www.seneweb.com","SN","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.seneweb.com","SN","ajax.cloudflare.com","US","cloudflare.com"
"www.sensornewsonline.com.ng","NG","stats.wp.com","US-CA","wp.com"
"www.sensornewsonline.com.ng","NG","i2.wp.com","US-CA","wp.com"
"www.sensornewsonline.com.ng","NG","s0.wp.com","US-CA","wp.com"
"www.sensornewsonline.com.ng","NG","i0.wp.com","US-CA","wp.com"
"www.sensornewsonline.com.ng","NG","i1.wp.com","US-CA","wp.com"
"www.setif.net","DZ","www.google.dz","US-CA","google."
"www.seychellesweekly.com","SC","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.seychellesweekly.com","SC","us.i1.yimg.com","SE","yimg."
"www.sierraleonetimes.com","SL","cdnjs.cloudflare.com","US","cloudflare.com"
"www.siwel.info","DZ","scontent.xx.fbcdn.net","IE","fbcdn.net"
"www.siwel.info","DZ","external.xx.fbcdn.net","IE","fbcdn.net"
"www.soccer24.co.zw","ZW","s0.wp.com","US-CA","wp.com"
"www.soccer24.co.zw","ZW","stats.wp.com","US-CA","wp.com"
"www.somalilandsun.com","SO","s0.wp.com","US-CA","wp.com"
"www.somalilandsun.com","SO","1.gravatar.com","US-CA","gravatar.com"
"www.somalilandsun.com","SO","stats.wp.com","US-CA","wp.com"
"www.southafrica.info","ZA","cdnjs.cloudflare.com","US","cloudflare.com"
"www.southafrica2day.com","ZA","apis.google.com","US-CA","google."
"www.southsudannation.com","SS","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.southsudantoday.net","SS","www.google.com","US-CA","google."
"www.sowetanlive.co.za","ZA","cdnjs.cloudflare.com","US","cloudflare.com"
"www.sport24.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.standardmedia.co.ke","KE","img.youtube.com","US-CA","youtube."
"www.standardmedia.co.ke","KE","ajax.cloudflare.com","US","cloudflare.com"
"www.standardmedia.co.ke","KE","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.standardmedia.co.ke","KE","amp.cloudflare.com","US","cloudflare.com"
"www.starducongo.com","CG","1.gravatar.com","US-CA","gravatar.com"
"www.starpress.info","MU","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.stop.co.mz","MZ","pbs.twimg.com","US-CA","twimg.com"
"www.stop.co.mz","MZ","maps.google.com","US-CA","google."
"www.stop.co.mz","MZ","l.yimg.com","GB","yimg."
"www.stp-press.st","ST","1.gravatar.com","US-CA","gravatar.com"
"www.stpdigital.net","ST","apis.google.com","US-CA","google."
"www.stpdigital.net","ST","connect.facebook.net","IE","facebook.net"
"www.sudantribune.com","SS","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.sudantribune.com","SD","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.sudantribune.com","SS","badge.facebook.com","IE","facebook.com"
"www.sudantribune.com","SD","badge.facebook.com","IE","facebook.com"
"www.sudantribune.com","SS","widgets.twimg.com","US","twimg.com"
"www.sudantribune.com","SD","widgets.twimg.com","US","twimg.com"
"www.sudantribune.net","SS","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.sudantribune.net","SD","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.sudonline.sn","SN","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.sundaynews.co.zw","ZW","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.sunshinecoastexpress.co.za","ZA","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.sunshinecoastexpress.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.supersport.com","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.supersport.com","ZA","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.tamtaminfo.com","NE","1.gravatar.com","US-CA","gravatar.com"
"www.tamtaminfo.com","NE","2.gravatar.com","US-CA","gravatar.com"
"www.tamtaminfo.com","NE","0.gravatar.com","US-CA","gravatar.com"
"www.tamurt.info","DZ","img.youtube.com","US-CA","youtube."
"www.tanzaniatoday.co.tz","TZ","i2.wp.com","US-CA","wp.com"
"www.tanzaniatoday.co.tz","TZ","www.google.com","US-CA","google."
"www.tanzaniatoday.co.tz","TZ","img.youtube.com","US-CA","youtube."
"www.tanzaniatoday.co.tz","TZ","lh6.googleusercontent.com","US-CA","googleusercontent.com"
"www.tanzaniatoday.co.tz","TZ","i0.wp.com","US-CA","wp.com"
"www.tanzaniatoday.co.tz","TZ","scontent.fdar3-1.fna.fbcdn.net","TZ","fbcdn.net"
"www.tanzaniatoday.co.tz","TZ","i1.wp.com","US-CA","wp.com"
"www.tanzaniatoday.co.tz","TZ","images-blogger-opensocial.googleusercontent.com","US-CA","googleusercontent.com"
"www.tanzaniatoday.co.tz","TZ","t1.gstatic.com","US-CA","gstatic.com"
"www.tchadactuel.com","TD","connect.facebook.net","IE","facebook.net"
"www.techtrends.co.zm","ZM","i2.wp.com","US-CA","wp.com"
"www.techtrends.co.zm","ZM","stats.wp.com","US-CA","wp.com"
"www.techtrends.co.zm","ZM","s0.wp.com","US-CA","wp.com"
"www.techzim.co.zw","ZW","stats.wp.com","US-CA","wp.com"
"www.techzim.co.zw","ZW","apis.google.com","US-CA","google."
"www.techzim.co.zw","ZW","i1.wp.com","US-CA","wp.com"
"www.techzim.co.zw","ZW","s0.wp.com","US-CA","wp.com"
"www.techzim.co.zw","ZW","secure.gravatar.com","US-CA","gravatar.com"
"www.techzim.co.zw","ZW","i2.wp.com","US-CA","wp.com"
"www.tellzim.com","ZW","apis.google.com","US-CA","google."
"www.the-star.co.ke","KE","ajax.cloudflare.com","US","cloudflare.com"
"www.theannouncer.co.za","ZA","secure.gravatar.com","US-CA","gravatar.com"
"www.theannouncer.co.za","ZA","img.youtube.com","US-CA","youtube."
"www.thecitizen.co.tz","TZ","img.youtube.com","US-CA","youtube."
"www.thegambiaecho.com","GM","maps.google.com","US-CA","google."
"www.theheartlander.com","NG","0.gravatar.com","US-CA","gravatar.com"
"www.theheartlander.com","NG","www.google.com","US-CA","google."
"www.theheraldnews.info","NG","s.gravatar.com","US-CA","gravatar.com"
"www.theheraldnews.info","NG","stats.wp.com","US-CA","wp.com"
"www.theheraldnews.info","NG","maps.google.com","US-CA","google."
"www.theheraldnews.info","NG","s0.wp.com","US-CA","wp.com"
"www.theheraldnews.info","NG","cdncache-a.akamaihd.net","SE","akamaihd.net"
"www.theheraldng.com","NG","i0.wp.com","US-CA","wp.com"
"www.theheraldng.com","NG","s0.wp.com","US-CA","wp.com"
"www.theheraldng.com","NG","i2.wp.com","US-CA","wp.com"
"www.theheraldng.com","NG","i1.wp.com","US-CA","wp.com"
"www.theheraldng.com","NG","stats.wp.com","US-CA","wp.com"
"www.theheraldng.com","NG","amp.cloudflare.com","US","cloudflare.com"
"www.theinfostrides.com","NG","secure.gravatar.com","US-CA","gravatar.com"
"www.thenewslib.com","LR","1.gravatar.com","US-CA","gravatar.com"
"www.thenigerianvoice.com","NG","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.thenigerianvoice.com","NG","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.thepatriot.co.bw","BW","www.facebook.com","IE","facebook.com"
"www.thepatriot.co.zw","ZW","secure.gravatar.com","US-CA","gravatar.com"
"www.thepatrioticvanguard.com","SL","www.google.com","US-CA","google."
"www.therwandan.com","RW","img.youtube.com","US-CA","youtube."
"www.thesierraleonetelegraph.com","SL","i1.wp.com","US-CA","wp.com"
"www.thesierraleonetelegraph.com","SL","s0.wp.com","US-CA","wp.com"
"www.thesierraleonetelegraph.com","SL","i0.wp.com","US-CA","wp.com"
"www.thesierraleonetelegraph.com","SL","i2.wp.com","US-CA","wp.com"
"www.thesierraleonetelegraph.com","SL","stats.wp.com","US-CA","wp.com"
"www.thetidenewsonline.com","NG","1.gravatar.com","US-CA","gravatar.com"
"www.thevillager.com.na","NA","cdnjs.cloudflare.com","US","cloudflare.com"
"www.thezimbabwean.co","ZW","wwwthezimbabweanco-q7nykxvxrjqv0wu7kc.stackpathdns.com","US-TX","stackpathdns.com"
"www.thezimbabwedaily.com","ZW","s0.wp.com","US-CA","wp.com"
"www.thezimbabwedaily.com","ZW","secure.gravatar.com","US-CA","gravatar.com"
"www.thezimbabwedaily.com","ZW","stats.wp.com","US-CA","wp.com"
"www.thezimbabwenewslive.com","ZW","s0.wp.com","US-CA","wp.com"
"www.thezimbabwenewslive.com","ZW","stats.wp.com","US-CA","wp.com"
"www.thinkghana.com","GH","l.yimg.com","GB","yimg."
"www.thinkghana.com","GH","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.thisdaylive.com","NG","s0.wp.com","US-CA","wp.com"
"www.thisdaylive.com","NG","i1.wp.com","US-CA","wp.com"
"www.thisdaylive.com","NG","i2.wp.com","US-CA","wp.com"
"www.thisdaylive.com","NG","stats.wp.com","US-CA","wp.com"
"www.thisdaylive.com","NG","0.gravatar.com","US-CA","gravatar.com"
"www.thisdaylive.com","NG","i0.wp.com","US-CA","wp.com"
"www.thisissierraleone.com","SL","apis.google.com","US-CA","google."
"www.thisissierraleone.com","SL","www.facebook.com","IE","facebook.com"
"www.tnrliberia.net","LR","www.google.com","US-CA","google."
"www.transactiondalgerie.com","DZ","www.google.com","US-CA","google."
"www.transactiondalgerie.com","DZ","apis.google.com","US-CA","google."
"www.transactiondalgerie.com","DZ","connect.facebook.net","IE","facebook.net"
"www.tribune.com.ng","NG","i1.wp.com","US-CA","wp.com"
"www.tribune.com.ng","NG","stats.wp.com","US-CA","wp.com"
"www.tribune.com.ng","NG","s.gravatar.com","US-CA","gravatar.com"
"www.tribune.com.ng","NG","i2.wp.com","US-CA","wp.com"
"www.tribune.com.ng","NG","s0.wp.com","US-CA","wp.com"
"www.tribune.com.ng","NG","23069-presscdn.pagely.netdna-cdn.com","GB","netdna-cdn.com"
"www.tribunelecteurs.com","DZ","1.gravatar.com","US-CA","gravatar.com"
"www.tribunelecteurs.com","DZ","0.gravatar.com","US-CA","gravatar.com"
"www.tripolipost.com","LY","www.google.com","US-CA","google."
"www.tsa-algerie.com","DZ","www.facebook.com","IE","facebook.com"
"www.tumfweko.com","ZM","stats.wp.com","US-CA","wp.com"
"www.tumfweko.com","ZM","i1.wp.com","US-CA","wp.com"
"www.tumfweko.com","ZM","s0.wp.com","US-CA","wp.com"
"www.tumfweko.com","ZM","i0.wp.com","US-CA","wp.com"
"www.tumfweko.com","ZM","i2.wp.com","US-CA","wp.com"
"www.tunivisions.net","TN","stats.wp.com","US-CA","wp.com"
"www.tunivisions.net","TN","secure.gravatar.com","US-CA","gravatar.com"
"www.tunivisions.net","TN","i2.wp.com","US-CA","wp.com"
"www.tunivisions.net","TN","s0.wp.com","US-CA","wp.com"
"www.tunivisions.net","TN","i1.wp.com","US-CA","wp.com"
"www.tunivisions.net","TN","i0.wp.com","US-CA","wp.com"
"www.tvcontinental.tv","NG","i2.wp.com","US-CA","wp.com"
"www.tvcontinental.tv","NG","i0.wp.com","US-CA","wp.com"
"www.tvcontinental.tv","NG","s0.wp.com","US-CA","wp.com"
"www.tvcontinental.tv","NG","pbs.twimg.com","US-CA","twimg.com"
"www.tvcontinental.tv","NG","i1.wp.com","US-CA","wp.com"
"www.tvcontinental.tv","NG","secure.gravatar.com","US-CA","gravatar.com"
"www.tvcontinental.tv","NG","stats.wp.com","US-CA","wp.com"
"www.tygerburger.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.tygerburger.co.za","ZA","www.facebook.com","IE","facebook.com"
"www.ud-news.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.ud-news.co.za","ZA","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.union.sonapresse.com","GA","www.facebook.com","IE","facebook.com"
"www.urhobotimes.com","NG","www.google.com","US-CA","google."
"www.vaalweekblad.com","ZA","www.facebook.com","IE","facebook.com"
"www.vanguardngr.com","NG","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.vanguardngr.com","NG","stats.wp.com","US-CA","wp.com"
"www.vanguardngr.com","NG","s0.wp.com","US-CA","wp.com"
"www.view.com.ng","NG","www.google.com","US-CA","google."
"www.view.com.ng","NG","d1lxhc4jvstzrp.cloudfront.net","US-WA","cloudfront.net"
"www.voandebele.com","ZW","voanews-vh.akamaihd.net","SE","akamaihd.net"
"www.voaportugues.com","AO","voanews-vh.akamaihd.net","SE","akamaihd.net"
"www.voashona.com","ZW","voanews-vh.akamaihd.net","SE","akamaihd.net"
"www.vocfm.co.za","ZA","maps.google.com","US-CA","google."
"www.vocfm.co.za","ZA","pbs.twimg.com","US-CA","twimg.com"
"www.volksblad.com","ZA","www.facebook.com","IE","facebook.com"
"www.volksblad.com","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.waltainfo.com","ET","www.google.com","US-CA","google."
"www.waltainfo.com","ET","cdnjs.cloudflare.com","US","cloudflare.com"
"www.waltainfo.com","ET","socialmediawidgets.files.wordpress.com","US-CA","wordpress.com"
"www.wardheernews.com","SO","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.wardheernews.com","SO","pbs.twimg.com","US-CA","twimg.com"
"www.wataninet.com","EG","amp.cloudflare.com","US","cloudflare.com"
"www.weslander.co.za","ZA","www.facebook.com","IE","facebook.com"
"www.weslander.co.za","ZA","pubads.g.doubleclick.net","US-CA","doubleclick.net"
"www.youm7.com","EG","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.zambiainvest.com","ZM","d5nxst8fruw4z.cloudfront.net","US-WA","cloudfront.net"
"www.zambiainvest.com","ZM","cdnjs.cloudflare.com","US","cloudflare.com"
"www.zambian-economist.com","ZM","apis.google.com","US-CA","google."
"www.zambian.com","ZM","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.zambian.com","ZM","www.google.com","US-CA","google."
"www.zambianewsonline.com","ZM","s0.wp.com","US-CA","wp.com"
"www.zambianewsonline.com","ZM","secure.gravatar.com","US-CA","gravatar.com"
"www.zambianewsonline.com","ZM","stats.wp.com","US-CA","wp.com"
"www.zambianintelligencenews.com","ZM","stats.wp.com","US-CA","wp.com"
"www.zambianintelligencenews.com","ZM","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.zambianobserver.com","ZM","1.gravatar.com","US-CA","gravatar.com"
"www.zambianpolitics.com","ZM","i2.wp.com","US-CA","wp.com"
"www.zambianpolitics.com","ZM","stats.wp.com","US-CA","wp.com"
"www.zambianpolitics.com","ZM","secure.gravatar.com","US-CA","gravatar.com"
"www.zambianpolitics.com","ZM","i1.wp.com","US-CA","wp.com"
"www.zambianpolitics.com","ZM","s0.wp.com","US-CA","wp.com"
"www.zambianpolitics.com","ZM","i0.wp.com","US-CA","wp.com"
"www.zambiawatchdog.com","ZM","zambiawatchdog-q7nykxvxrjqv0wu7kc.stackpathdns.com","US-TX","stackpathdns.com"
"www.zambiawatchdog.com","ZM","secure.gravatar.com","US-CA","gravatar.com"
"www.zenga-mambu.com","CG","stats.wp.com","US-CA","wp.com"
"www.zenga-mambu.com","CG","s0.wp.com","US-CA","wp.com"
"www.zimbabwelatestnews.net","ZW","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.zimbabwenewsonline.com","ZW","pagead2.googlesyndication.com","US-CA","googlesyndication."
"www.zimbabwesituation.com","ZW","0.gravatar.com","US-CA","gravatar.com"
"www.zimbabwesituation.com","ZW","2.gravatar.com","US-CA","gravatar.com"
