"domain","cc","geoloc_cc",size_mobile,"price_mobile",size_desktop,"price_desktop"
"ethiopianreview.com","ET","FR",17777,"0.0001",17777,"0.0001"
"evasion.lepays.bf","BF","FR",80947,"0.0006",80947,"0.0006"
"ewn.co.za","ZA","ZA",218312,"0.0023",223137,"0.0023"
"exposeghana.com","GH","US-TX",57380,"0.0003",57380,"0.0003"
"eyeradio.org","SS","SG",41664,"0.0003",41664,"0.0003"
"faso-actu.net","BF","FR",99914,"0.0008",99914,"0.0008"
"flashpointnews.wordpress.com","NG","US",420706,"0.0015",448559,"0.0016"
"focus.rw","RW","US-TX",52320,"0.0002",52320,"0.0002"
"foroyaa.gm","GM","US-CA",279433,"0.0290",279433,"0.0290"
"fourwaysreview.co.za","ZA","US",111157,"0.0012",293549,"0.0030"
"fr.alakhbar.info","MR","DE",31321,"0.0006",31321,"0.0006"
"gabonreview.com","GA","FR",111068,"0.0012",111068,"0.0012"
"gainako.com","GM","US-AZ",172133,"0.0178",172133,"0.0178"
"germistoncitynews.co.za","ZA","US",112632,"0.0012",297788,"0.0031"
"ghananewslink.com","GH","US-TX",94371,"0.0004",94371,"0.0004"
"ghheadlines.com","GH","DE",216591,"0.0010",216591,"0.0010"
"gistyinka.net","NG","US-AZ",18067,"0.0001",17999,"0.0001"
"globalvillageextra.com","NG","US-TX",195981,"0.0007",195981,"0.0007"
"gloryfm.com","NG","VG",16255,"0.0001",26990,"0.0001"
"gnnliberia.com","LR","US-AZ",101974,"0.0005",101973,"0.0005"
"goldenpennewspaper.blogspot.com","NG","US-CA",39931,"0.0001",137074,"0.0005"
"guinea-forum.org","GQ","CA-ON",31191,NULL,59931,NULL
"guineeactu.info","GQ","CH",59469,NULL,59380,NULL
"guineenews.org","GQ","US",298946,NULL,300097,NULL
"haatuf.net","SO","US-IL",48614,NULL,48614,NULL
"happyghana.com","GH","US-VA",73458,"0.0003",72205,"0.0003"
"hebdo.ahram.org.eg","EG","EG",104865,"0.0002",104865,"0.0002"
"heritageliberia.net","LR","US",7597,"0.0000",7597,"0.0000"
"highwaymail.co.za","ZA","US",110918,"0.0011",283497,"0.0029"
"hmetro.co.zw","ZW","US-UT",90957,"0.0027",90957,"0.0027"
"iharare.com","ZW","US-AZ",132265,"0.0039",135481,"0.0040"
"imvahonshya.co.rw","RW","US-TX",92360,"0.0003",92360,"0.0003"
"ireports-ng.com","NG","LT",202882,"0.0007",202882,"0.0007"
