"domain","cc","geoloc_cc",size_mobile,"price_mobile",size_desktop,"price_desktop"
"www.akhbarelyoum.dz","DZ","FR",83520,"0.0006",83520,"0.0006"
"www.akhersaa-dz.com","DZ","FR",309795,"0.0022",220974,"0.0016"
"www.akwaibomnewsonline.com","NG","US-UT",40448,"0.0001",29805,"0.0001"
"www.al-fadjr.com","DZ","FR",276813,"0.0020",276813,"0.0020"
"www.al-jarida.net","MA","US-GA",38674,"0.0002",38674,"0.0002"
"www.alakhbar.info","MR","DE",84119,"0.0016",84119,"0.0016"
"www.alalam.ma","MA","FR",160895,"0.0007",160895,"0.0007"
"www.albassair.org","DZ","DE",51768,"0.0004",51811,"0.0004"
"www.alfa.cv","CV","US-UT",4669,"0.0000",4669,"0.0000"
"www.alger-republicain.com","DZ","FR",55078,"0.0004",55078,"0.0004"
"www.algerep.com","DZ","FR",56410,"0.0004",56410,"0.0004"
"www.algeria-newspapers.com","DZ","US-MI",104301,"0.0007",104301,"0.0007"
"www.algeriatimes.net","DZ","US-TX",205562,"0.0015",205562,"0.0015"
"www.algerie-focus.com","DZ","DE",222008,"0.0016",222000,"0.0016"
"www.algerie1.com","DZ","US",74074,"0.0005",75097,"0.0005"
"www.algerie360.com","DZ","US",148002,"0.0010",148341,"0.0010"
"www.algerieconfluences.com","DZ","US-TX",9054,"0.0001",9629,"0.0001"
"www.algeriepatriotique.com","DZ","US",300423,"0.0021",300423,"0.0021"
"www.allghananews.com","GH","US-AZ",128555,"0.0006",128555,"0.0006"
"www.allnigeriasoccer.com","NG","US-CA",19272,"0.0001",18901,"0.0001"
"www.allpuntland.com","SO","DK",93940,NULL,93940,NULL
"www.allsomali.com","SO","US-TX",10518,NULL,10401,NULL
"www.almaghribia.ma","MA","US",46822,"0.0002",46821,"0.0002"
"www.almasryalyoum.com","EG","US",67241,"0.0001",125953,"0.0002"
"www.almessa.net.eg","EG","US",251763,"0.0004",251763,"0.0004"
"www.almizan.info","NG","US",33264,"0.0001",33264,"0.0001"
"www.almshaheer.com","SD","DE",67683,"0.0004",67683,"0.0004"
"www.alome.com","TG","US",60459,"0.0005",60459,"0.0005"
"www.alsahafa.info","SD","US-AZ",18662,"0.0001",18594,"0.0001"
"www.alwafd.org","EG","US",51690,"0.0001",122494,"0.0002"
"www.alwatanalarabi.com","EG","US",219292,"0.0003",180316,"0.0003"
"www.alwihdainfo.com","TD","FR",150080,"0.0030",150080,"0.0030"
"www.amalawi.info","MW","DE",34476,"0.0002",79929,"0.0004"
"www.ami.mr","MR","MR",50240,"0.0009",50240,"0.0009"
"www.angola24.net","AO","",21523,"0.0004",21523,"0.0004"
"www.angonoticias.com","AO","PT",45493,"0.0009",45486,"0.0009"
"www.ann7.com","ZA","ZA",215146,"0.0022",215146,"0.0022"
"www.annabacity.net","DZ","FR",51085,"0.0004",51304,"0.0004"
"www.annasronline.com","DZ","FR",99562,"0.0007",99562,"0.0007"
"www.antennereunion.fr","RE","FR",343723,NULL,343723,NULL
"www.aouaga.com","BF","US",66531,"0.0005",66531,"0.0005"
"www.apctimes.com","SL","US-TX",66446,"0.0007",66446,"0.0007"
"www.aproko247.com","NG","US-MI",92895,"0.0003",92895,"0.0003"
"www.aps.sn","SN","FR",96615,"0.0006",96615,"0.0006"
"www.arenebi.com","SN","CA-ON",274414,"0.0018",274692,"0.0018"
"www.arewaonline-ng.com","NG","US-IL",155921,"0.0005",155921,"0.0005"
"www.arib.info","BI","FR",2899056,"0.0095",2899056,"0.0095"
"www.arushatimes.co.tz","TZ","DE",9393,"0.0000",9310,"0.0000"
"www.ascension-island.gov.ac","SH","GB",71473,NULL,71442,NULL
"www.asdae.com","MA","DE",14009,"0.0001",14009,"0.0001"
"www.asmarino.com","ER","US-CA",87837,NULL,125240,NULL
"www.assabah.com.tn","TN","FR",142248,"0.0004",142248,"0.0004"
"www.assabah.press.ma","MA","US",136073,"0.0006",136682,"0.0006"
"www.atoo.ci","CI","FR",150504,"0.0018",150597,"0.0018"
"www.attounissia.com.tn","TN","DE",1765,"0.0000",1986,"0.0000"
"www.au-senegal.com","SN","FR",92700,"0.0006",92700,"0.0006"
"www.aujourdhui-en-guinee.com","GQ","FR",79013,NULL,79013,NULL
"www.aujourdhui.ma","MA","US",185789,"0.0008",186352,"0.0008"
"www.autrequotidien.com","BJ","US-MA",63115,"0.0005",69996,"0.0005"
"www.awrambatimes.com","ET","US-CA",50804,"0.0003",50803,"0.0003"
"www.az.com.na","NA","US",69194,"0.0004",69194,"0.0004"
"www.b-metro.co.zw","ZW","ZA",62729,"0.0018",62729,"0.0018"
"www.babnet.net","TN","US-CA",60325,"0.0002",277811,"0.0008"
"www.bakhitaradio.org","SS","AU",54595,"0.0003",54595,"0.0003"
"www.ballitonews.co.za","ZA","US-TX",61123,"0.0006",61123,"0.0006"
"www.banadir.com","SO","CA-ON",458412,NULL,458412,NULL
"www.banjulfocus.com","GM","US-AZ",40924,"0.0042",40924,"0.0042"
"www.beeld.com","ZA","ZA",47853,"0.0005",126695,"0.0013"
"www.bejaiainfo.com","DZ","US-WA",152780,"0.0011",152782,"0.0011"
"www.bellanaija.com","NG","FR",363883,"0.0013",221411,"0.0008"
"www.benin24tv.com","BJ","US",110455,"0.0009",110455,"0.0009"
"www.benininfo.com","BJ","US-UT",142527,"0.0011",142527,"0.0011"
"www.bh24.co.zw","ZW","US-UT",169461,"0.0050",169591,"0.0050"
"www.bignigeria.com","NG","US-TX",177941,"0.0006",177941,"0.0006"
"www.bissaudigital.com","GW","PT",26096,"0.0015",26096,"0.0015"
"www.bizday.co.zw","ZW","",19355,"0.0006",19355,"0.0006"
"www.blida-aps.dz","DZ","DZ",39289,"0.0003",39289,"0.0003"
"www.bonaberi.com","CM","FR",107004,"0.0009",106997,"0.0009"
"www.bonesha.bi","BI","DE",8472,"0.0000",8763,"0.0000"
"www.botswanaguardian.co.bw","BW","BG",49568,"0.0015",49568,"0.0015"
"www.bravanews.com","CV","US-NY",77051,"0.0004",77051,"0.0004"
"www.brnieq.com","LY","US-TX",20789,"0.0004",20789,"0.0004"
"www.bugandawatch.com","UG","US-UT",71318,"0.0005",71318,"0.0005"
"www.bukedde.co.ug","UG","SG",105596,"0.0007",105596,"0.0007"
"www.burundi-sites.com","BI","FR",17180,"0.0001",17180,"0.0001"
"www.bushchicken.com","LR","US-CA",78720,"0.0004",218102,"0.0010"
"www.business-et-finances.com","CD","CA-ON",187897,"0.0035",187897,"0.0035"
"www.businessdaily.co.zw","ZW","GB",48154,"0.0014",48127,"0.0014"
"www.businessdailyafrica.com","KE","US",82768,"0.0003",82543,"0.0003"
"www.businesstimes.co.tz","TZ","DE",9240,"0.0000",9328,"0.0000"
"www.cabodiario.com","CV","GB",29719,"0.0001",29719,"0.0001"
"www.caboverdeonline.com","CV","US-MI",39877,"0.0002",39877,"0.0002"
"www.cairolive.com","EG","US",97920,"0.0002",97920,"0.0002"
"www.camer.be","CM","DE",317032,"0.0028",317056,"0.0028"
"www.cameroon-info.net","CM","US-TX",173362,"0.0015",294126,"0.0026"
"www.cameroon-tribune.cm","CM","US-NJ",154198,"0.0014",154198,"0.0014"
"www.cameroononline.org","CM","US",152130,"0.0013",152131,"0.0013"
"www.cameroonpostline.com","CM","US-AZ",40968,"0.0004",89567,"0.0008"
"www.cameroonweb.com","CM","US",46436,"0.0004",26203,"0.0002"
"www.cameroun-online.com","CM","IT",263461,"0.0023",263461,"0.0023"
"www.cameroun24.net","CM","CA-QC",60610,"0.0005",60610,"0.0005"
"www.camerounactu.net","CM","BG",14808,"0.0001",14808,"0.0001"
"www.camerounlink.net","CM","DE",165646,"0.0015",217878,"0.0019"
"www.camnews24.com","CM","DE",70917,"0.0006",70917,"0.0006"
"www.capetalk.co.za","ZA","ZA",52158,"0.0005",52158,"0.0005"
"www.capitaleritrea.com","ER","DE",78679,NULL,78819,NULL
"www.capitalfm.co.ke","KE","US",76115,"0.0003",76072,"0.0003"
"www.carletonvilleherald.com","ZA","ZA",67686,"0.0007",184437,"0.0019"
"www.carrefourdalgerie.com","DZ","DZ",61218,"0.0004",61227,"0.0004"
"www.cbc-eg.com","EG","US",3649,"0.0000",3649,"0.0000"
"www.cbn.co.za","ZA","ZA",115408,"0.0012",115408,"0.0012"
"www.ceelqaboobe.com","SO","US-NY",147928,NULL,147928,NULL
"www.channelafrica.co.za","ZA","ZA",87863,"0.0009",87863,"0.0009"
"www.channelstv.com","NG","US",150569,"0.0005",131057,"0.0005"
"www.chikuniradiozm.org","ZM","US-CA",24246,"0.0004",35057,"0.0005"
"www.chronicle.co.zw","ZW","US",130692,"0.0039",130692,"0.0039"
"www.citifmonline.com","GH","US-KS",117915,"0.0005",117915,"0.0005"
"www.citizentv.co.ke","KE","US",82853,"0.0003",82852,"0.0003"
"www.citypress.co.za","ZA","ZA",17320,"0.0002",81373,"0.0008"
"www.cknnigeria.com","NG","US-NE",169734,"0.0006",169735,"0.0006"
"www.club-k.net","AO","US",122303,"0.0024",123001,"0.0024"
"www.coastweek.com","KE","US-MO",619447,"0.0024",619447,"0.0024"
"www.comores-actualites.com","KM","GB",63202,"0.0007",70081,"0.0008"
"www.comores-infos.net","KM","DE",129263,"0.0014",129505,"0.0014"
"www.competition.dz","DZ","FR",62095,"0.0004",62095,"0.0004"
"www.confidente.com.na","NA","US-NY",157579,"0.0010",157435,"0.0010"
"www.congo-site.com","CG","FR",25514,"0.0003",49687,"0.0005"
"www.congoindependant.com","CD","DK",70426,"0.0013",70426,"0.0013"
"www.congolais.fr","CD","FR",4164,"0.0001",4164,"0.0001"
"www.congopage.com","CG","US",65735,"0.0007",65735,"0.0007"
"www.congoplanet.com","CD","US-AZ",45163,"0.0008",45243,"0.0008"
"www.congoplanete.com","CD","US-AZ",47966,"0.0009",47932,"0.0009"
"www.congotribune.com","CD","JP",36080,"0.0007",36080,"0.0007"
"www.congovision.com","CD","US-FL",103216,"0.0019",103216,"0.0019"
"www.connectionivoirienne.net","CI","NL",107725,"0.0013",107725,"0.0013"
"www.constantine-aps.dz","DZ","DZ",43416,"0.0003",43416,"0.0003"
"www.cottontreenews.org","SL","CH",18902,"0.0002",18902,"0.0002"
"www.courriercasablanca.com","MA","CA-NB",164748,"0.0007",164748,"0.0007"
"www.courrierconfidentiel.net","BF","FR",46081,"0.0004",46081,"0.0004"
"www.critiqueecho.com","SL","DK",151310,"0.0015",151241,"0.0015"
"www.cxpress.co.za","ZA","ZA",32777,"0.0003",32751,"0.0003"
"www.cyberethiopia.com","ET","BG",44752,"0.0003",44749,"0.0003"
"www.dac-presse.com","CG","DE",123095,"0.0013",123095,"0.0013"
"www.daily-mail.co.zm","ZM","ZM",91223,"0.0014",91189,"0.0014"
"www.dailyguideghana.com","GH","DE",75796,"0.0004",75796,"0.0004"
"www.dailymaverick.co.za","ZA","US-CA",298729,"0.0031",298729,"0.0031"
"www.dailynation.news","ZM","US-FL",94140,"0.0014",94140,"0.0014"
"www.dailynews.co.tz","TZ","US-UT",158163,"0.0005",158163,"0.0005"
"www.dailynewsegypt.com","EG","US-TX",134703,"0.0002",134703,"0.0002"
"www.dailytrust.com.ng","NG","IN",168859,"0.0006",168859,"0.0006"
"www.dakaractu.com","SN","FR",202147,"0.0014",202152,"0.0014"
"www.deboutcongolais.info","CD","US-CA",36760,"0.0007",36760,"0.0007"
"www.defimedia.info","MU","FR",379902,"0.0026",379902,"0.0026"
"www.depechedekabylie.com","DZ","GB",88200,"0.0006",88200,"0.0006"
"www.dieburger.com","ZA","ZA",47179,"0.0005",126039,"0.0013"
"www.digitalcongo.net","CD","US-VA",3028,"0.0001",3028,"0.0001"
"www.direct.cd","CD","US",136763,"0.0025",136763,"0.0025"
"www.dispatchlive.co.za","ZA","US",214916,"0.0022",214916,"0.0022"
"www.districtmail.com","ZA","ZA",56995,"0.0006",146063,"0.0015"
"www.djazairess.com","DZ","US",107674,"0.0008",108243,"0.0008"
"www.djibnet.com","DJ","US-CA",35727,NULL,35727,NULL
"www.dostor.org","EG","US",97716,"0.0002",97718,"0.0002"
"www.durbannews.co.za","ZA","US-TX",431355,"0.0045",431355,"0.0045"
"www.dzfoot.com","DZ","US",60230,"0.0004",67593,"0.0005"
"www.e-nigeriang.com","NG","US",144997,"0.0005",144997,"0.0005"
"www.eastlondonexpress.co.za","ZA","ZA",61008,"0.0006",112793,"0.0012"
"www.echo.co.bw","BW","BW",2793,"0.0001",2793,"0.0001"
"www.echoroukonline.com","DZ","FR",285537,"0.0020",285537,"0.0020"
"www.economist.com.na","NA","US",587953,"0.0037",588965,"0.0037"
"www.ecr.co.za","ZA","US",83660,"0.0009",69133,"0.0007"
"www.edenexpress.co.za","ZA","ZA",61008,"0.0006",112693,"0.0012"
"www.edgecommunitynews.com","ZA","DE",68000,"0.0007",68000,"0.0007"
"www.editorialnigeria.com","NG","US-UT",5382,"0.0000",5382,"0.0000"
"www.edoworld.net","NG","US-FL",151719,"0.0005",151719,"0.0005"
"www.egynews.net","EG","NL",163852,"0.0003",163852,"0.0003"
"www.egypt-elections.com","EG","US-UT",5379,"0.0000",5379,"0.0000"
"www.egyptindependent.com","EG","US-CA",172758,"0.0003",142812,"0.0002"
"www.eikestadnuus.co.za","ZA","ZA",59785,"0.0006",148257,"0.0015"
"www.elbilad.net","DZ","US",67940,"0.0005",114593,"0.0008"
"www.elconfidencialsaharaui.com","EH","US-CA",71650,NULL,105817,NULL
"www.eldjoumhouria.dz","DZ","US-IL",64776,"0.0005",64776,"0.0005"
"www.elheddaf.com","DZ","US",139265,"0.0010",139562,"0.0010"
"www.eljadida.com","MA","FR",53383,"0.0002",53383,"0.0002"
"www.elkhabar.com","DZ","US",92262,"0.0007",92260,"0.0007"
"www.elmoudjahid.com","DZ","US-CO",101173,"0.0007",101173,"0.0007"
"www.elombah.com","NG","US-UT",213894,"0.0007",213894,"0.0007"
"www.elwatan.com","DZ","FR",86162,"0.0006",86162,"0.0006"
"www.ena.gov.et","ET","ET",146570,"0.0008",146570,"0.0008"
"www.enca.com","ZA","IE",373213,"0.0039",137151,"0.0014"
"www.ennaharonline.com","DZ","FR",195215,"0.0014",195346,"0.0014"
"www.enqueteplus.com","SN","EU",130951,"0.0009",130951,"0.0009"
"www.enqueteur-gn.info","GQ","US-TX",111720,NULL,111720,NULL
"www.eritrea24.com","ER","US-AZ",58130,NULL,58130,NULL
"www.eritreadaily.net","ER","US-MA",162842,NULL,162842,NULL
"www.ertagov.com","ET","JP",55181,"0.0003",55181,"0.0003"
"www.essor.ml","ML","DE",356764,"0.0045",356747,"0.0045"
"www.ethiomedia.com","ET","US-CA",65401,"0.0004",65401,"0.0004"
"www.ethionewsdirect.com","ET","US",157360,"0.0009",108774,"0.0006"
"www.ethioobserver.net","ET","US-FL",549333,"0.0032",549333,"0.0032"
"www.ethiopian-news.com","ET","US-TX",118261,"0.0007",118261,"0.0007"
"www.ethiopians.com","ET","US-AZ",20601,"0.0001",20601,"0.0001"
"www.etiame.com","TG","FR",168664,"0.0013",168723,"0.0013"
"www.expansao.co.ao","AO","US-TX",81319,"0.0016",81319,"0.0016"
"www.expatica.com","ZA","NL",22374,"0.0002",22374,"0.0002"
"www.expotimesonline.net","SL","CA-QC",47124,"0.0005",46731,"0.0005"
"www.expressodasilhas.sapo.cv","CV","GB",32630,"0.0002",32630,"0.0002"
"www.faceofmalawi.com","MW","US",62509,"0.0003",142238,"0.0008"
"www.factualreporters.com","NG","US-MI",82499,"0.0003",82499,"0.0003"
"www.farajat.net","ER","AU",369271,NULL,369271,NULL
"www.fasopresse.net","BF","FR",47805,"0.0004",47805,"0.0004"
"www.financialgazette.co.zw","ZW","ZA",96652,"0.0029",96652,"0.0029"
"www.finitemagazine.co.ls","LS","US-FL",100193,"0.0008",100193,"0.0008"
"www.flavafm.co.zm","ZM","US-CA",45300,"0.0007",45300,"0.0007"
"www.focusinfos.net","TG","FR",70574,"0.0006",70574,"0.0006"
"www.fraternitebj.info","BJ","FR",92891,"0.0007",92891,"0.0007"
"www.fratmat.info","CI","US",80806,"0.0010",80918,"0.0010"
"www.frcnssz.com","NG","",8371,"0.0000",8371,"0.0000"
"www.freedomnewspaper.com","GM","US-UT",288153,"0.0299",286377,"0.0297"
"www.freedomradionig.com","NG","BG",55651,"0.0002",55651,"0.0002"
"www.freemedia.co.tz","TZ","SE",46257,"0.0001",46264,"0.0001"
"www.freshangleng.com","NG","US-CA",52429,"0.0002",52429,"0.0002"
"www.freshfactsonlinenews.net","NG","US-TX",9107,"0.0000",9680,"0.0000"
"www.frontiersnews.com","NG","US-MI",188677,"0.0007",188956,"0.0007"
"www.frontpageafricaonline.com","LR","US",193383,"0.0009",172711,"0.0008"
"www.gabonactu.com","GA","CH",213159,"0.0023",212878,"0.0023"
"www.gaboneco.com","GA","FR",58361,"0.0006",58361,"0.0006"
"www.gabonlibre.com","GA","FR",168463,"0.0018",168463,"0.0018"
"www.gabzfm.com","BW","US-UT",1723,"0.0001",1723,"0.0001"
"www.galaxytvonline.com","NG","US",39038,"0.0001",39278,"0.0001"
"www.garoweonline.com","SO","SG",119188,NULL,119188,NULL
"www.gaznot.com","GW","CH",57707,"0.0033",57217,"0.0033"
"www.gbcghana.com","GH","US-KS",43610,"0.0002",43610,"0.0002"
"www.gbich.com","CI","FR",51389,"0.0006",51585,"0.0006"
"www.gbissau.com","GW","US-CA",39683,"0.0023",139934,"0.0080"
"www.gbn.co.za","ZA","ZA",66048,"0.0007",65900,"0.0007"
"www.georgeherald.com","ZA","ZA",249406,"0.0026",332213,"0.0034"
"www.ghana.gov.gh","GH","GH",41150,"0.0002",41150,"0.0002"
"www.ghanabusinessnews.com","GH","US",70997,"0.0003",70774,"0.0003"
"www.ghanadot.com","GH","US-TX",53274,"0.0002",53274,"0.0002"
"www.ghanaiantimes.com.gh","GH","US-AZ",102880,"0.0005",102880,"0.0005"
"www.ghanamma.com","GH","US",202531,"0.0009",203712,"0.0009"
"www.ghananewsagency.org","GH","US-UT",60548,"0.0003",37463,"0.0002"
"www.ghanasoccernet.com","GH","US",65422,"0.0003",89295,"0.0004"
"www.ghanatoday.com","GH","NL",82573,"0.0004",82573,"0.0004"
"www.ghanavoice.com","GH","US-VA",13866,"0.0001",13866,"0.0001"
"www.ghanaweb.com","GH","US",47334,"0.0002",27466,"0.0001"
"www.gnet.tn","TN","TN",99706,"0.0003",99706,"0.0003"
"www.golfemediaonline.com","BJ","US",43732,"0.0003",43732,"0.0003"
"www.gossipnigeria.com","NG","US-CA",54201,"0.0002",146545,"0.0005"
"www.greytown.co.za","ZA","ZA",64189,"0.0007",64189,"0.0007"
"www.grocotts.co.za","ZA","ZA",164573,"0.0017",164573,"0.0017"
"www.groupelavenir.org","CD","US-FL",101259,"0.0019",100399,"0.0019"
"www.grts.gm","GM","GM",86143,"0.0089",86143,"0.0089"
"www.guinee360.com","GQ","FR",118919,NULL,118919,NULL
"www.guinee7.com","GQ","FR",54755,NULL,300016,NULL
"www.guineepresse.info","GQ","DK",84525,NULL,84525,NULL
"www.gurtong.net","SS","GB",193420,"0.0012",193264,"0.0012"
"www.habarileo.co.tz","TZ","US-UT",131093,"0.0004",130735,"0.0004"
"www.habarizacomores.com","KM","US-CA",808549,"0.0090",808410,"0.0090"
"www.hallmarknews.com","NG","DE",61854,"0.0002",61854,"0.0002"
"www.harare24.com","ZW","GB",18197,"0.0005",57136,"0.0017"
"www.hararenews.co.zw","ZW","GB",300485,"0.0089",300485,"0.0089"
"www.hebdoimmobilier-dz.com","DZ","US-IL",73333,"0.0005",73333,"0.0005"
"www.heidelbergnigelheraut.co.za","ZA","US",103914,"0.0011",287448,"0.0030"
"www.herald.co.zw","ZW","US",154877,"0.0046",154877,"0.0046"
"www.heraldlive.co.za","ZA","US",238975,"0.0025",238975,"0.0025"
"www.hermanustimes.co.za","ZA","ZA",59441,"0.0006",145420,"0.0015"
"www.hiiraan.com","SO","US",83092,NULL,83092,NULL
"www.homeviewsenegal.com","SN","US-NY",245942,"0.0016",246817,"0.0017"
"www.huhuonline.com","NG","BG",220934,"0.0008",220934,"0.0008"
"www.ibinda.com","AO","PT",26096,"0.0005",26096,"0.0005"
"www.icibenin.com","BJ","CA-QC",149208,"0.0012",149208,"0.0012"
"www.icilome.com","TG","CA-QC",77282,"0.0006",168450,"0.0013"
"www.igfm.sn","SN","GB",102580,"0.0007",102580,"0.0007"
"www.ilanganews.co.za","ZA","ZA",65261,"0.0007",65261,"0.0007"
"www.ilorin.info","NG","US-TX",27372,"0.0001",27345,"0.0001"
"www.imatin.net","CI","DE",154889,"0.0019",241878,"0.0029"
"www.imostateblog.com","NG","US-FL",66038,"0.0002",66038,"0.0002"
"www.imotrumpeta.com","NG","US-NC",51748,"0.0002",51748,"0.0002"
"www.impact24.info","DZ","US-CA",123860,"0.0009",123860,"0.0009"
"www.independent.co.ug","UG","GB",99094,"0.0006",99094,"0.0006"
"www.indepthnigeria.com","NG","US-TX",9030,"0.0000",9609,"0.0000"
"www.infoconstantine.com","DZ","AU",2884,"0.0000",2856,"0.0000"
"www.infoghana.info","GH","CZ",79973,"0.0004",79973,"0.0004"
"www.infoguinee.com","GQ","US",72143,NULL,72140,NULL
"www.infonigeria.net","NG","VG",16343,"0.0001",27517,"0.0001"
"www.informante.web.na","NA","US-CA",313101,"0.0020",313101,"0.0020"
"www.informationng.com","NG","US",107312,"0.0004",109888,"0.0004"
"www.informativenews.co.ls","LS","US-FL",96333,"0.0008",96333,"0.0008"
"www.infosplusgabon.com","GA","US-CA",42623,"0.0005",42460,"0.0005"
"www.infotunisie.com","TN","FR",49180,"0.0001",49180,"0.0001"
"www.insiderzim.com","ZW","CA-QC",48838,"0.0014",48838,"0.0014"
"www.iol.co.za","ZA","US",437012,"0.0045",437012,"0.0045"
"www.ionigeria.com","NG","US-CA",109703,"0.0004",109703,"0.0004"
"www.ipreunion.com","RE","FR",101410,NULL,101410,NULL
"www.iq4news.com","NG","US",215941,"0.0008",215939,"0.0008"
"www.isanganiro.org","BI","CH",28147,"0.0001",28147,"0.0001"
"www.ivoireactu.net","CI","FR",68777,"0.0008",68777,"0.0008"
"www.ivoirediaspo.net","CI","GB",86410,"0.0010",86412,"0.0010"
"www.iwacu-burundi.org","BI","US",108691,"0.0004",108691,"0.0004"
"www.jadidpresse.com","MA","US-VA",5006,"0.0000",5006,"0.0000"
"www.jamana.org","ML","ML",28200,"0.0004",28200,"0.0004"
"www.jbaynews.com","ZA","ZA",140616,"0.0015",140616,"0.0015"
"www.jeberti.com","ER","BG",109480,NULL,109480,NULL
"www.jeune-independant.net","DZ","US",127623,"0.0009",127623,"0.0009"
"www.jijel-echo.com","DZ","GB",1510177,"0.0107",1510190,"0.0107"
"www.jijel.info","DZ","FR",77638,"0.0005",77638,"0.0005"
"www.jollofnews.com","GM","US",112100,"0.0116",112613,"0.0117"
"www.jornalnoticias.co.mz","MZ","MZ",89475,"0.0003",89475,"0.0003"
"www.journal-adjinakou-benin.info","BJ","US-TX",39083,"0.0003",39083,"0.0003"
"www.journaldebangui.com","CF","FR",82267,"0.0010",82267,"0.0010"
"www.journaldebrazza.com","CG","FR",200319,"0.0021",200319,"0.0021"
"www.journalducameroun.com","CM","FR",236453,"0.0021",236453,"0.0021"
"www.journaldusport.ma","MA","US-CA",161210,"0.0007",161207,"0.0007"
"www.journaldutchad.com","TD","FR",79433,"0.0016",79433,"0.0016"
"www.kababachir.com","GQ","FR",463125,NULL,463124,NULL
"www.kabyle.com","DZ","US",53474,"0.0004",53804,"0.0004"
"www.kapital971.com","GH","US-UT",72820,"0.0003",74616,"0.0003"
"www.kawalisse.com","DZ","FR",88045,"0.0006",88045,"0.0006"
"www.kawowo.com","UG","CA-QC",125302,"0.0008",125302,"0.0008"
"www.kbc.co.ke","KE","KE",271947,"0.0011",271947,"0.0011"
"www.kbn.co.za","ZA","ZA",46778,"0.0005",46913,"0.0005"
"www.kenya-today.com","KE","US",45442,"0.0002",56629,"0.0002"
"www.kenyamoja.com","KE","US",266457,"0.0011",266020,"0.0011"
"www.kenyan-post.com","KE","US-CA",123096,"0.0005",123097,"0.0005"
"www.kitwetimes.com","ZM","US-AZ",52212,"0.0008",52212,"0.0008"
"www.kivumedia.com","CD","US",234153,"0.0044",234153,"0.0044"
"www.koerant.co.za","ZA","BG",102352,"0.0011",102352,"0.0011"
"www.kormorant.co.za","ZA","US",103327,"0.0011",278356,"0.0029"
"www.kougaexpress.co.za","ZA","ZA",58914,"0.0006",109904,"0.0011"
"www.ktvsl.com","SL","BG",78729,"0.0008",78515,"0.0008"
"www.kwaranews.com","NG","US-UT",41006,"0.0001",89146,"0.0003"
"www.kwayedza.co.zw","ZW","US-UT",61389,"0.0018",61389,"0.0018"
"www.kwevoel.co.za","ZA","ZA",153995,"0.0016",153995,"0.0016"
"www.laconscience.com","CD","FR",41167,"0.0008",41167,"0.0008"
"www.lactualite-dz.info","DZ","US-WA",6879,"0.0000",6591,"0.0000"
"www.ladepechedabidjan.info","CI","FR",144692,"0.0017",143720,"0.0017"
"www.lagachettedumaroc.com","MA","FR",9203,"0.0000",9210,"0.0000"
"www.lagazette-dgi.com","MG","MG",42192,"0.0003",42192,"0.0003"
"www.lanation.mg","MG","US-CA",31941,"0.0002",31941,"0.0002"
"www.lanationbenin.info","BJ","FR",116489,"0.0009",116486,"0.0009"
"www.lanationdj.com","DJ","FR",59529,NULL,59529,NULL
"www.lanouvellecentrafrique.info","CF","US-CA",301264,"0.0035",301264,"0.0035"
"www.lanouvelleexpression.info","CM","US-AZ",116533,"0.0010",116920,"0.0010"
"www.lanouvelletribune.info","BJ","US",233001,"0.0018",232569,"0.0018"
"www.lapresse.tn","TN","TN",55540,"0.0002",55540,"0.0002"
"www.lapressedujour.net","BJ","US-FL",26237,"0.0002",46712,"0.0004"
"www.laprosperiteonline.net","CD","CH",196018,"0.0037",196018,"0.0037"
"www.laraignee.org","BJ","US-UT",89847,"0.0007",89847,"0.0007"
"www.lasemaineafricaine.net","CG","FR",48576,"0.0005",48670,"0.0005"
"www.latestnigeriannews.com","NG","US-MO",126114,"0.0004",243403,"0.0008"
"www.lauthentic.info","MR","US-CA",62788,"0.0012",62788,"0.0012"
"www.lautomarche.com","DZ","CH",147774,"0.0010",147774,"0.0010"
"www.laverite.mg","MG","FR",126755,"0.0009",126755,"0.0009"
"www.lavieeco.com","MA","US",58984,"0.0003",168277,"0.0007"
"www.leaders.com.tn","TN","FR",65613,"0.0002",65613,"0.0002"
"www.lebuteur.com","DZ","US",98038,"0.0007",98978,"0.0007"
"www.lecalame.info","MR","US-UT",19630,"0.0004",19630,"0.0004"
"www.leconomiste.com","MA","US",101958,"0.0004",101958,"0.0004"
"www.leconomistemaghrebin.com","TN","FR",112095,"0.0003",120307,"0.0003"
"www.leffortcamerounais.com","CM","US",143552,"0.0013",142498,"0.0013"
"www.leffortcamerounais.info","CM","US",122872,"0.0011",122045,"0.0011"
"www.lejourdalgerie.com","DZ","FR",55610,"0.0004",55610,"0.0004"
"www.lejourguinee.com","GQ","US-AZ",272108,NULL,272108,NULL
"www.lemaghreb.tn","TN","GB",167528,"0.0005",167529,"0.0005"
"www.lematin.ma","MA","US",87504,"0.0004",72600,"0.0003"
"www.lematindz.net","DZ","GB",78379,"0.0006",78379,"0.0006"
"www.lemauricien.com","MU","US-CA",349924,"0.0024",349924,"0.0024"
"www.lenasia-times.co.za","ZA","US-TX",14386,"0.0001",14386,"0.0001"
"www.lenouveaureveil.com","CI","US",14759,"0.0002",14759,"0.0002"
"www.lenzinfo.co.za","ZA","US-CA",65735,"0.0007",66625,"0.0007"
"www.lepatriote.net","CI","US-AZ",59131,"0.0007",59131,"0.0007"
"www.lepetitjournal.com","EG","FR",701946,"0.0011",701946,"0.0011"
