"cc","rtt"
"AGO",130.6429
"BDI",35.8571
"BWA",28.9091
"CMR",154.4444
"DZA",91.3750
"ETH",15.6000
"GHA",271.0833
"GMB",2.7000
"KEN",13.0000
"LSO",47.8000
"MAR",148.6600
"MDG",1.5882
"MWI",41.5357
"MOZ",65.3651
"NAM",28.5000
"RWA",9.7500
"SYC",13.3333
"SWZ",54.7778
"TGO",121.2162
"TUN",28.0219
"ZAF",25.3688
"ZMB",3.3462
