"domain","probe_cc","hosting_cc1","hop_count"
"lecourrier-dalgerie.com","DZ","FR",9
"ledaily.mg","MG","US",7
"lejournaldaffaire.com","DZ","FR",7
"leprovincial.com","DZ","AU",11
"lequotidienalgerie.org","DZ","CA",9
"lestimes.com","LS","ZA",5
"letempstg.com","TG","US",8
"levenementprecis.com","BJ","US",7
"liberal.sapo.cv","CV","PT",6
"lindaikeji.blogspot.com","NG","US",5
"lnt.ma","MA","FR",13
"lobservateurdumaroc.info","MA","US",13
"lowvelder.co.za","ZA","US",5
"lusakastar.com","ZM","DE",6
"lusakavoice.com","ZM","US",5
"majira-hall.blogspot.com","TZ","US",7
"malawi24.com","MW","US",7
"malawiana.net","MW","US",10
"malawilive.com","MW","US",9
"manicapost.co.zw","ZW","US",12
"maravi.blogspot.com","ZM","US",7
"maritzburgsun.co.za","ZA","US",5
"marocpress.ma","MA","US",6
"mauritiustimes.com","MU","US",9
"mbc.intnet.mu","MU","MU",4
"mediamaxnetwork.co.ke","KE","US",5
"mg.co.za","ZA","US",5
"midrandreporter.co.za","ZA","US",5
"mkegypt.net","EG","UA",27
"moroccantimes.com","MA","US",10
"moroccomedia.com","MA","US",15
"mtanzania.co.tz","TZ","CA",7
"mthathaexpress.co.za","ZA","ZA",7
"mubasher-misr.aljazeera.net","EG","US",5
"mzalendo.net","TZ","US",9
"naijabizcom.com","NG","US",9
"nationalmirroronline.net","NG","US",10
"nbs.ug","UG","US",11
"nehandaradio.com","ZW","US",6
"nehandatv.com","ZW","US",6
"new.elfagr.org","EG","US",6
"newcastleadvertiser.co.za","ZA","US",4
"newmail-ng.com","NG","US",9
"news.bestnaira.com","NG","US",6
"news.google.com","BW","US",5
"news.google.com","EG","US",8
"news.google.com","ET","US",7
"news.google.com","GH","US",6
"news.google.com","KE","US",4
"news.google.com","MA","US",10
"news.google.com","NA","US",5
"news.google.com","NG","US",9
"news.google.com","SN","US",18
"news.google.com","TZ","US",7
"news.google.com","UG","US",8
"news.google.com","ZA","US",5
"news.google.com","ZW","US",9
"news.maraviexpress.com","MW","GB",7
"news.sudanvisiondaily.com","SD","US",10
"newsdayngonline.com","NG","US",8
"newsdiaryonline.com","NG","US",10
"newsducamer.com","CM","US",40
"newsinvestigatorsng.com","NG","CA",8
"newslexpoint.com","UG","GB",8
"newsly.ma","MA","FR",9
"newsofthesouth.com","ZW","GB",8
"newsvyb.com","ZW","US",17
"newtelegraphonline.com","NG","US",10
"newzimbabwevision.com","ZW","DE",7
"ngex.com","NG","US",9
"nhasimugweru.blogspot.com","ZW","US",8
"nigeriaindependent.com","NG","US",9
"nigerianbeacon.com","NG","US",9
"nigerianinquirer.com","NG","DE",8
"nigeriantimes.ng","NG","US",7
"nigeriapoliticsonline.com","NG","US",10
"nigeriastandardnewspaper.com","NG","US",7
"northcliffmelvilletimes.co.za","ZA","US",5
"northeasterntribune.co.za","ZA","US",5
"northglennews.co.za","ZA","US",5
"noticiasdonorte.publ.cv","CV","US",7
"novagazeta.co.ao","AO","PT",9
"ntv.nation.co.ke","KE","US",5
"observer24.com.na","NA","DE",8
"ogavendor.com","NG","DE",8
"ontveg.com","EG","US",8
"opais.co.ao","AO","US",4
"ouest-info.org","DZ","FR",4
"patsakacommunityradio.org","ZW","US",11
"peaceghana.com","GH","US",7
"plentynews.com","NG","AU",11
"pointblanknews.com","NG","US",9
"polokwaneexpress.co.za","ZA","ZA",6
"ppbdi.com","BI","US",14
"pulse.ng","NG","DE",8
"quotidienlemessager.net","CM","US",41
"radiodespertarangola.net","AO","US",10
"radiookapi.net","CD","US",6
"radioonefm90.com","UG","MU",5
"radiotamazuj.org","SS","NL",9
"randburgsun.co.za","ZA","US",4
"realnewsmagazine.net","NG","US",10
"rekordcenturion.co.za","ZA","US",4
"rekordeast.co.za","ZA","US",4
"reporters365.com","NG","US",8
"reunion.la1ere.fr","RE","",5
"reunion.la1ere.fr","RE","FR",7
"reunion.la1ere.fr","RE","GB",5
"reunion.la1ere.fr","RE","IN",9
"reunion.la1ere.fr","RE","NL",7
"reunion.la1ere.fr","RE","RE",3
"reunion.la1ere.fr","RE","US",9
"risingsunchatsworth.co.za","ZA","US",4
"royaltimes.net","NG","US",8
"rwandawire.com","RW","US",7
"saharareporters.com","NG","US",6
"sandtonchronicle.co.za","ZA","US",5
"sandtonmag.co.za","ZA","US",9
"sawt-alahrar.net","DZ","DE",7
"sawtdjelfa.com","DZ","FR",7
"scannewsnigeria.com","NG","US",10
"sedibengster.com","ZA","ZA",6
"senego.com","SN","US",6
"silverbirdtv.com","NG","NL",8
"sites.google.com","DZ","DZ",3
"sites.google.com","DZ","US",6
"siyimbali.com","SZ","US",31
"societynews.co.za","ZA","US",10
"sosanews.com","SS","US",7
"source.co.zw","ZW","US",12
"southafricatoday.net","ZA","US",5
"southcoastherald.co.za","ZA","US",5
"southcoastsun.co.za","ZA","US",4
"southernafrican.news","NA","DE",7
"southlandssun.co.za","ZA","US",4
"southsudantoday.net","SS","US",8
"southsudantribune.org","SS","US",11
"sport.elkhabar.com","DZ","US",5
"sport.ennaharonline.com","DZ","FR",7
"sportbrief.co.zw","ZW","GB",9
"startvtz.com","TZ","US",7
"stfrancischronicle.com","ZA","US",5
"suna-sd.net","SD","SD",5
"sundayexpress.co.ls","LS","ZA",5
"sunnewsonline.com","NG","US",7
"tahrirnews.com","EG","US",6
"telquel.ma","MA","US",5
"theabujatimes.com","NG","US",9
"theadvocatengr.com","NG","US",10
"thebftonline.com","GH","US",5
"thecitizenng.com","NG","US",9
"theeagleonline.com.ng","NG","US",9
"theglobenewspaper.blogspot.com","ZM","US",7
"theheraldghana.com","GH","US",5
"theinfrastructurenewsng.com","NG","US",8
"theinsider.ug","UG","US",12
"theinvestigatornews.com","UG","US",13
"thenationonlineng.net","NG","US",6
"theneighbourhoodonline.com","NG","GB",6
"thenewcrusadingguideonline.com","GH","US",9
"thenews-chronicle.com","NG","US",7
"thepeoplesvoice.org.zw","ZW","GB",8
"thepoint.gm","GM","FR",5
"thepointernewsonline.com","NG","US",10
"therainbow.com.ng","NG","ZA",4
